";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
2021-04-24 00:00:00;2021-04-24 02:00:00;51,4379;5,3581;11,59;13,56;18,64;;51,5107;5,3606;9,45;11,17;16,41;;51,4915;5,4392;7,59;9,36;16,01;;51,4025;5,3514;14,95;16,77;22,65;;51,4568;5,4382;7,95;9,33;14,63;;51,4464;5,4487;10,91;12,80;17,22;;51,4422;5,4844;8,43;10,12;14,56;;51,3706;5,1565;11,20;12,75;18,21;;51,4454;5,4854;9,87;11,56;16,00;;51,4414;5,4713;8,26;9,97;14,42;;51,4681;5,3901;9,21;10,93;16,80;;51,3468;5,3887;11,70;13,18;18,92;;51,4135;5,4707;9,20;10,83;15,09;;51,4332;5,5198;7,91;9,48;15,49;;51,4372;5,4233;8,31;10,07;16,03;;51,4584;5,4050;11,28;13,26;18,21;;51,4444;5,4787;9,60;11,29;15,87;;51,4546;5,3887;9,27;11,24;15,68;;51,4492;5,4569;10,66;12,43;17,36;;51,4350;5,4798;7,50;9,28;14,12;;51,4373;5,4512;9,50;10,73;16,09;;51,4797;5,4751;8,33;10,08;14,42;;51,5295;5,4718;9,91;11,48;17,28;;51,4388;5,4818;10,88;12,82;17,77;;51,4686;5,4723;10,64;12,39;16,84;51,4390;5,4650;9,30;11,23;16,28;;51,4528;5,4851;12,15;13,89;18,45;;51,4320;5,6272;11,16;12,96;19,35;;51,5305;5,2846;10,02;11,62;17,21;
2021-04-25 00:00:00;2021-04-25 02:00:00;51,4379;5,3582;6,84;9,37;15,95;;51,5107;5,3606;6,97;9,31;16,60;;51,4915;5,4392;5,02;7,43;15,37;;51,4025;5,3514;11,09;13,53;21,55;;51,4568;5,4384;5,65;7,54;14,62;;51,4465;5,4481;7,11;9,37;14,40;;51,4422;5,4844;5,85;8,06;13,14;;51,3706;5,1565;7,78;9,81;16,85;;51,4454;5,4854;6,66;8,89;14,40;;51,4414;5,4715;5,71;8,00;13,45;;51,4681;5,3901;5,77;8,03;14,23;;51,3468;5,3887;8,85;10,91;18,13;;51,4135;5,4707;5,65;7,73;13,28;;51,4332;5,5198;5,89;7,91;14,87;;51,4372;5,4233;6,02;8,29;16,05;;51,4585;5,4050;7,43;10,10;16,53;;51,4444;5,4788;6,26;8,43;14,02;;51,4546;5,3887;6,78;9,45;14,96;;51,4492;5,4569;7,27;9,67;15,16;;51,4350;5,4798;5,54;7,84;13,43;;51,4372;5,4512;6,30;7,94;14,96;;51,4797;5,4751;5,78;8,05;13,34;;51,5295;5,4718;7,41;9,69;17,35;;51,4388;5,4819;7,84;10,37;16,25;;51,4686;5,4723;7,24;9,66;15,52;51,4390;5,4650;7,05;9,67;15,49;;51,4528;5,4851;8,23;10,48;16,06;;51,4320;5,6272;8,23;10,59;18,56;;51,5304;5,2846;7,23;9,57;18,09;
2021-04-26 00:00:00;2021-04-26 02:00:00;51,4379;5,3582;6,11;8,07;14,21;;51,5107;5,3606;6,10;7,90;14,31;;51,4915;5,4392;4,48;6,51;15,38;;51,4025;5,3514;10,79;12,57;19,84;;51,4568;5,4383;4,82;6,20;12,42;;51,4464;5,4483;6,82;8,69;13,51;;51,4422;5,4844;5,12;6,84;11,62;;51,3706;5,1565;6,90;8,56;15,71;;51,4454;5,4854;5,79;7,51;12,33;;51,4414;5,4713;5,16;6,97;12,26;;51,4681;5,3901;4,95;6,99;15,35;;51,3468;5,3887;8,16;9,68;16,43;;51,4135;5,4707;5,18;6,69;11,47;;51,4332;5,5198;4,71;6,28;13,04;;51,4372;5,4233;5,40;7,14;13,69;;51,4584;5,4049;7,02;9,13;14,74;;51,4444;5,4788;5,50;7,22;12,55;;51,4546;5,3887;5,84;7,90;13,27;;51,4491;5,4569;6,23;8,10;13,44;;51,4353;5,4798;4,35;6,20;12,14;;51,4370;5,4516;6,01;7,23;13,59;;51,4797;5,4751;4,35;6,13;11,11;;51,5295;5,4719;6,36;8,13;15,47;;51,4386;5,4817;6,94;8,87;14,35;;51,4686;5,4723;6,14;7,94;13,30;51,4390;5,4650;6,07;8,17;14,05;;51,4528;5,4851;7,49;9,28;14,32;;51,4320;5,6272;7,11;8,67;15,83;;51,5305;5,2846;7,62;9,88;16,92;
2021-04-27 00:00:00;2021-04-27 02:00:00;51,4379;5,3582;7,12;8,36;13,40;;51,5107;5,3606;6,38;7,47;13,06;;51,4915;5,4392;4,72;5,86;12,74;;51,4025;5,3514;11,91;13,01;18,14;;51,4567;5,4383;5,11;6,01;11,03;;51,4464;5,4486;6,13;7,24;11,69;;51,4422;5,4844;5,36;6,42;10,59;;51,3706;5,1565;7,04;8,07;13,43;;51,4454;5,4854;6,29;7,37;11,57;;51,4413;5,4713;5,31;6,52;11,10;;51,4681;5,3901;5,19;6,32;12,10;;51,3468;5,3887;8,62;9,66;14,84;;51,4136;5,4707;5,83;6,87;10,80;;51,4332;5,5197;4,95;5,95;11,49;;51,4372;5,4233;5,86;7,03;12,54;;51,4583;5,4050;7,11;8,40;12,98;;51,4444;5,4788;5,86;6,98;11,42;;51,4546;5,3887;5,62;6,87;11,26;;51,4491;5,4569;6,90;8,08;12,78;;51,4355;5,4799;4,18;5,35;10,49;;51,4371;5,4516;7,00;7,79;12,26;;51,4797;5,4751;4,29;5,40;9,70;;51,5295;5,4719;6,45;7,56;13,34;;51,4384;5,4814;6,85;8,05;12,51;;51,4686;5,4723;6,58;7,74;11,91;51,4390;5,4650;5,86;7,25;12,11;;51,4528;5,4851;8,16;9,37;13,52;;51,4320;5,6272;7,44;8,55;14,42;;51,5305;5,2846;6,83;7,99;13,45;
2021-04-28 00:00:00;2021-04-28 02:00:00;51,4379;5,3582;16,45;18,36;23,79;;51,5107;5,3606;12,31;13,84;19,48;;51,4915;5,4392;10,10;11,79;20,00;;51,4025;5,3514;20,67;22,38;28,38;;51,4568;5,4382;10,41;11,69;17,07;;51,4465;5,4483;12,82;14,37;19,38;;51,4422;5,4844;11,67;13,08;17,81;;51,3706;5,1565;14,22;15,65;21,46;;51,4454;5,4854;12,74;14,21;18,72;;51,4414;5,4714;11,51;13,07;18,14;;51,4681;5,3901;12,44;14,21;21,92;;51,3468;5,3887;15,98;17,43;23,23;;51,4136;5,4707;12,92;14,42;18,82;;51,4332;5,5198;9,72;11,07;17,31;;51,4372;5,4233;10,90;12,38;18,66;;51,4584;5,4050;15,43;17,33;22,19;;51,4444;5,4788;12,57;14,11;18,86;;51,4546;5,3887;12,78;14,45;19,41;;51,4491;5,4569;14,86;16,48;21,61;;51,4353;5,4797;9,90;11,40;16,68;;51,4375;5,4515;13,16;14,34;19,35;;51,4797;5,4751;9,52;10,86;15,49;;51,5295;5,4719;12,81;14,26;21,22;;51,4384;5,4814;14,11;15,74;20,64;;51,4686;5,4723;14,47;16,11;20,78;51,4390;5,4650;11,98;13,78;19,99;;51,4528;5,4851;16,35;18,03;23,01;;51,4320;5,6272;13,82;15,45;21,58;;51,5305;5,2846;13,00;14,57;20,72;
2021-04-29 00:00:00;2021-04-29 02:00:00;51,4379;5,3582;15,98;18,66;24,50;;51,5107;5,3606;13,22;15,58;22,29;;51,4915;5,4392;10,53;12,87;20,07;;51,4025;5,3514;19,24;21,69;28,54;;51,4568;5,4383;11,35;13,23;18,90;;51,4464;5,4485;13,31;15,39;20,07;;51,4422;5,4844;12,63;14,82;19,95;;51,3706;5,1565;14,40;16,40;22,69;;51,4454;5,4854;13,92;16,20;21,10;;51,4414;5,4717;12,03;14,24;19,17;;51,4681;5,3901;12,71;14,91;20,40;;51,3468;5,3887;16,90;18,97;25,43;;51,4136;5,4707;13,05;15,11;20,00;;51,4332;5,5198;11,65;13,71;20,15;;51,4372;5,4233;11,37;13,43;19,94;;51,4585;5,4050;15,33;17,91;23,48;;51,4445;5,4787;13,88;16,13;21,26;;51,4546;5,3887;13,25;15,59;20,64;;51,4492;5,4569;16,63;19,26;24,61;;51,4350;5,4797;11,22;13,30;18,58;;51,4375;5,4515;13,22;14,96;21,01;;51,4797;5,4751;11,57;13,65;18,22;;51,5295;5,4718;13,56;15,72;22,32;;51,4385;5,4820;16,02;18,48;24,03;;51,4685;5,4721;15,72;18,23;23,54;51,4390;5,4650;13,84;16,41;21,63;;51,4528;5,4851;17,49;20,05;25,51;;51,4320;5,6272;17,25;19,78;27,25;;51,5305;5,2846;12,64;14,93;22,36;
2021-04-30 00:00:00;2021-04-30 02:00:00;51,4379;5,3581;15,58;18,68;26,11;;51,5108;5,3606;12,84;15,72;24,25;;51,4915;5,4392;10,16;13,39;23,68;;51,4025;5,3514;19,78;22,63;32,29;;51,4567;5,4383;10,93;13,17;20,91;;51,4465;5,4483;13,14;15,96;22,03;;51,4422;5,4844;12,58;15,64;22,46;;51,3706;5,1565;13,85;16,07;23,56;;51,4454;5,4854;13,91;16,70;22,92;;51,4414;5,4715;11,91;15,03;21,62;;51,4681;5,3901;12,04;14,76;21,51;;51,3467;5,3888;17,05;19,55;27,91;;51,4136;5,4707;13,24;15,85;21,88;;51,4331;5,5197;11,99;14,69;23,94;;51,4372;5,4233;11,61;14,54;23,84;;51,4585;5,4050;14,88;18,06;25,71;;51,4445;5,4787;13,87;16,75;23,47;;51,4546;5,3887;12,31;15,53;21,73;;51,4491;5,4569;15,12;18,25;25,05;;51,4350;5,4796;10,88;13,94;20,84;;51,4375;5,4515;13,83;15,84;23,88;;51,4797;5,4751;10,98;13,90;19,76;;51,5295;5,4719;13,47;16,45;25,36;;51,4387;5,4821;16,03;19,27;26,27;;51,4685;5,4721;15,67;18,76;25,67;51,4390;5,4650;12,80;16,28;23,19;;51,4528;5,4851;18,01;21,16;27,76;;51,4320;5,6272;17,78;20,88;31,01;;51,5304;5,2846;11,85;14,65;25,41;
2021-05-01 00:00:00;2021-05-01 02:00:00;51,4379;5,3582;11,99;13,62;18,74;;51,5108;5,3606;10,57;12,18;18,04;;51,4915;5,4392;7,87;9,62;15,76;;51,4025;5,3514;17,56;19,29;25,17;;51,4568;5,4382;8,26;9,49;14,63;;51,4465;5,4483;9,81;11,36;15,55;;51,4422;5,4844;9,37;11,12;15,58;;51,3707;5,1565;10,86;12,01;16,79;;51,4454;5,4854;10,80;12,48;16,72;;51,4416;5,4713;9,16;10,82;15,33;;51,4681;5,3901;9,21;10,63;15,24;;51,3467;5,3888;14,04;15,56;21,04;;51,4136;5,4707;10,31;11,75;15,93;;51,4332;5,5198;9,74;11,33;16,98;;51,4372;5,4233;8,83;10,39;15,98;;51,4585;5,4050;11,61;13,44;18,37;;51,4445;5,4787;10,80;12,57;17,04;;51,4546;5,3887;9,32;11,07;15,65;;51,4492;5,4569;12,05;14,13;18,82;;51,4350;5,4795;8,40;10,09;14,88;;51,4375;5,4515;11,01;12,15;17,08;;51,4797;5,4751;7,77;9,27;13,45;;51,5295;5,4719;10,76;12,42;18,86;;51,4390;5,4820;12,58;14,40;19,17;;51,4685;5,4721;11,48;13,26;17,85;51,4390;5,4650;9,67;11,59;16,41;;51,4528;5,4852;13,93;15,84;20,52;;51,4320;5,6272;11,58;12,97;18,45;;51,5305;5,2846;10,06;11,45;17,34;
2021-05-02 00:00:00;2021-05-02 02:00:00;51,4379;5,3581;7,47;8,84;14,10;;51,5108;5,3606;7,44;8,66;13,20;;51,4915;5,4392;5,20;6,38;11,85;;51,4025;5,3514;12,43;13,76;19,51;;51,4569;5,4383;5,54;6,46;11,37;;51,4465;5,4485;6,05;7,19;11,15;;51,4422;5,4844;7,44;8,73;12,66;;51,3706;5,1565;8,33;9,36;14,46;;51,4454;5,4854;6,88;8,07;12,06;;51,4414;5,4713;5,84;7,17;11,43;;51,4681;5,3901;5,60;6,73;11,40;;51,3467;5,3888;9,82;11,07;16,59;;51,4136;5,4707;6,11;7,22;11,71;;51,4331;5,5196;5,45;6,55;11,73;;51,4372;5,4233;5,83;6,98;12,02;;51,4583;5,4050;7,56;8,88;13,74;;51,4444;5,4788;7,02;8,33;12,42;;51,4546;5,3887;6,19;7,58;12,14;;51,4492;5,4569;8,45;10,10;14,55;;51,4350;5,4795;4,88;6,22;10,64;;51,4375;5,4515;6,85;7,72;12,52;;51,4797;5,4751;4,62;5,78;9,59;;51,5295;5,4718;6,80;7,99;12,96;;51,4390;5,4820;7,78;9,25;13,51;;51,4685;5,4721;6,90;8,17;12,58;51,4390;5,4650;5,97;7,39;11,79;;51,4528;5,4852;9,02;10,34;14,48;;51,4320;5,6272;8,86;10,27;15,80;;51,5305;5,2846;7,16;8,36;13,61;
2021-05-03 00:00:00;2021-05-03 02:00:00;51,4379;5,3582;10,01;11,30;15,70;;51,5108;5,3606;8,88;10,16;16,45;;51,4915;5,4392;6,28;7,44;13,17;;51,4025;5,3514;14,84;16,01;20,93;;51,4568;5,4383;6,46;7,31;11,53;;51,4465;5,4485;7,78;8,92;12,86;;51,4422;5,4844;9,81;10,88;14,46;;51,3706;5,1565;9,54;10,52;14,98;;51,4454;5,4854;8,27;9,35;13,02;;51,4414;5,4714;6,79;7,91;11,85;;51,4681;5,3901;7,40;8,46;12,89;;51,3467;5,3888;10,49;11,46;15,92;;51,4136;5,4707;7,65;8,65;12,25;;51,4332;5,5198;8,38;9,77;14,90;;51,4372;5,4233;7,85;9,10;14,22;;51,4583;5,4050;9,75;11,06;15,15;;51,4447;5,4788;8,00;9,08;12,98;;51,4546;5,3887;7,54;8,69;12,75;;51,4492;5,4569;9,04;10,23;14,52;;51,4350;5,4795;5,53;6,63;10,88;;51,4375;5,4515;8,98;9,80;13,94;;51,4797;5,4751;5,87;6,91;10,71;;51,5296;5,4719;8,34;9,39;14,47;;51,4390;5,4820;9,14;10,32;14,42;;51,4685;5,4721;9,27;10,54;14,37;51,4390;5,4650;7,59;9,45;19,67;;51,4528;5,4852;10,45;11,61;15,46;;51,4320;5,6272;9,58;10,63;15,31;;51,5305;5,2846;9,40;10,64;17,46;
2021-05-04 00:00:00;2021-05-04 02:00:00;51,4379;5,3582;2,66;4,27;10,97;;51,5108;5,3606;4,57;6,24;13,43;;51,4915;5,4392;2,60;4,19;12,00;;51,4024;5,3514;7,00;8,53;14,37;;51,4568;5,4383;2,62;3,73;9,36;;51,4464;5,4483;3,09;4,57;9,58;;51,4422;5,4844;5,16;6,67;11,20;;51,3706;5,1565;4,98;6,49;12,49;;51,4454;5,4854;3,52;4,96;9,66;;51,4414;5,4713;2,72;4,10;9,36;;51,4681;5,3901;2,55;4,07;10,40;;51,3467;5,3888;4,97;6,29;12,30;;51,4136;5,4707;2,42;3,78;8,73;;51,4331;5,5197;3,59;5,05;11,40;;51,4372;5,4233;3,83;5,33;11,53;;51,4584;5,4050;3,88;5,72;11,91;;51,4445;5,4787;3,12;4,67;9,45;;51,4546;5,3887;3,19;4,74;9,83;;51,4492;5,4569;3,48;5,10;10,50;;51,4352;5,4793;2,58;4,02;9,37;;51,4375;5,4517;3,04;4,07;10,14;;51,4797;5,4751;2,39;3,70;7,95;;51,5295;5,4719;4,24;5,78;12,92;;51,4389;5,4821;4,34;5,98;11,09;;51,4685;5,4721;3,27;4,92;10,15;51,4390;5,4650;3,72;5,64;14,39;;51,4528;5,4852;4,22;5,65;10,63;;51,4320;5,6272;4,82;6,17;11,46;;51,5305;5,2845;4,45;6,06;14,39;
2021-05-05 00:00:00;2021-05-05 02:00:00;51,4379;5,3581;3,70;5,44;10,36;;51,5108;5,3606;5,43;7,32;13,21;;51,4915;5,4392;3,36;5,14;10,72;;51,4024;5,3515;8,04;9,65;15,06;;51,4566;5,4381;3,33;4,60;9,58;;51,4464;5,4485;3,98;5,57;9,54;;51,4422;5,4844;5,76;7,42;11,22;;51,3706;5,1565;5,70;7,18;12,31;;51,4454;5,4854;4,41;6,00;9,80;;51,4414;5,4712;3,24;4,78;8,70;;51,4681;5,3901;3,12;4,61;8,98;;51,3467;5,3888;6,21;7,72;12,77;;51,4136;5,4707;3,30;4,74;8,75;;51,4332;5,5198;3,72;5,20;10,40;;51,4372;5,4233;4,00;5,62;11,06;;51,4584;5,4050;4,43;6,21;11,03;;51,4444;5,4787;3,94;5,57;9,57;;51,4546;5,3887;3,97;5,70;9,77;;51,4492;5,4569;4,55;6,20;10,12;;51,4352;5,4792;3,18;4,75;9,04;;51,4375;5,4518;4,18;5,33;10,55;;51,4797;5,4751;3,06;4,61;8,32;;51,5295;5,4719;5,08;6,90;12,34;;51,4387;5,4820;5,26;7,01;11,25;;51,4685;5,4722;4,29;6,03;10,38;51,4390;5,4650;4,63;6,44;10,34;;51,4528;5,4851;5,61;7,37;11,76;;51,4320;5,6272;6,48;8,23;13,53;;51,5304;5,2845;5,02;6,75;13,57;
2021-05-06 00:00:00;2021-05-06 02:00:00;51,4379;5,3581;6,55;7,68;11,17;;51,5108;5,3606;7,48;8,48;12,25;;51,4915;5,4392;4,89;5,98;9,91;;51,4024;5,3515;11,15;12,22;16,19;;51,4566;5,4381;5,12;5,83;9,15;;51,4465;5,4481;5,82;6,87;9,87;;51,4422;5,4844;7,55;8,54;11,52;;51,3706;5,1565;7,47;8,47;12,29;;51,4454;5,4854;6,47;7,47;10,49;;51,4415;5,4715;4,93;5,86;8,90;;51,4681;5,3901;5,25;6,19;9,39;;51,3467;5,3888;8,07;8,97;12,77;;51,4136;5,4708;5,36;6,26;9,22;;51,4331;5,5197;5,48;6,46;10,16;;51,4372;5,4233;5,47;6,45;10,13;;51,4584;5,4050;7,03;8,18;11,53;;51,4444;5,4787;6,22;7,27;10,49;;51,4546;5,3887;5,42;6,50;9,51;;51,4492;5,4569;6,94;8,09;11,29;;51,4352;5,4791;4,29;5,26;8,53;;51,4375;5,4518;6,63;7,39;11,00;;51,4797;5,4751;4,13;5,04;7,99;;51,5295;5,4718;7,08;7,99;11,72;;51,4389;5,4822;7,18;8,29;11,49;;51,4686;5,4723;6,56;7,63;10,85;51,4390;5,4650;5,51;6,69;9,88;;51,4528;5,4851;8,58;9,81;13,30;;51,4320;5,6272;8,13;9,11;12,87;;51,5306;5,2845;7,31;8,27;12,45;
2021-05-07 00:00:00;2021-05-07 02:00:00;51,4379;5,3581;7,86;8,99;12,52;;51,5108;5,3606;7,73;8,72;12,42;;51,4915;5,4392;5,18;6,12;9,93;;51,4024;5,3515;13,58;14,66;18,62;;51,4568;5,4386;5,61;6,34;9,79;;51,4464;5,4485;7,19;8,23;11,42;;51,4422;5,4844;8,70;9,64;12,73;;51,3706;5,1565;8,98;10,27;14,08;;51,4454;5,4854;7,75;8,73;11,93;;51,4414;5,4714;6,41;7,41;10,61;;51,4681;5,3901;5,68;6,56;9,80;;51,3467;5,3888;9,93;10,82;14,50;;51,4137;5,4708;6,47;7,33;10,31;;51,4331;5,5197;6,44;7,38;11,34;;51,4372;5,4233;6,51;7,44;11,08;;51,4584;5,4050;7,98;9,09;12,56;;51,4445;5,4787;7,30;8,40;11,70;;51,4546;5,3887;6,25;7,31;10,49;;51,4492;5,4569;8,15;9,24;12,54;;51,4352;5,4790;5,65;6,65;9,89;;51,4375;5,4517;8,08;8,93;12,50;;51,4797;5,4751;5,22;6,15;9,19;;51,5296;5,4718;8,13;9,20;12,86;;51,4387;5,4821;8,84;10,05;13,28;;51,4686;5,4723;8,13;9,27;12,80;51,4390;5,4650;7,50;8,74;12,24;;51,4528;5,4851;9,66;10,81;14,24;;51,4320;5,6272;9,24;10,21;14,21;;51,5305;5,2845;6,99;7,91;11,89;
2021-05-08 00:00:00;2021-05-08 02:00:00;51,4379;5,3581;6,16;7,59;11,92;;51,5108;5,3606;6,47;7,80;13,00;;51,4915;5,4392;4,42;5,67;11,32;;51,4024;5,3515;11,59;12,87;17,44;;51,4570;5,4384;4,77;5,76;10,10;;51,4463;5,4485;5,41;6,58;10,33;;51,4422;5,4844;5,00;6,12;9,46;;51,3706;5,1565;6,48;7,63;12,13;;51,4454;5,4854;5,78;6,93;10,48;;51,4414;5,4713;4,89;6,12;9,76;;51,4681;5,3901;4,99;6,20;10,37;;51,3467;5,3888;7,50;8,50;12,73;;51,4137;5,4708;5,12;6,25;9,91;;51,4332;5,5198;4,90;5,99;10,68;;51,4372;5,4233;5,83;7,29;12,03;;51,4584;5,4050;6,70;8,21;12,38;;51,4447;5,4788;5,70;6,91;10,66;;51,4546;5,3887;6,02;7,71;11,59;;51,4492;5,4570;6,10;7,41;11,35;;51,4352;5,4790;4,12;5,34;9,13;;51,4375;5,4518;6,06;6,94;11,14;;51,4797;5,4751;4,05;5,18;8,61;;51,5296;5,4718;6,10;7,21;11,57;;51,4384;5,4818;6,58;7,91;11,76;;51,4686;5,4724;6,14;7,39;11,22;51,4390;5,4650;5,55;6,87;10,93;;51,4528;5,4851;7,26;8,70;13,16;;51,4320;5,6272;7,32;8,66;13,76;;51,5304;5,2846;7,68;9,39;15,37;
2021-05-09 00:00:00;2021-05-09 02:00:00;51,4379;5,3581;3,41;4,44;9,42;;51,5108;5,3606;3,52;4,74;11,26;;51,4915;5,4392;2,60;3,65;10,18;;51,4024;5,3515;9,99;10,93;15,37;;51,4569;5,4383;2,40;3,20;8,33;;51,4465;5,4482;2,77;3,79;8,27;;51,4423;5,4844;2,86;3,76;7,47;;51,3706;5,1565;4,19;5,08;10,38;;51,4454;5,4854;3,07;3,97;7,75;;51,4417;5,4718;2,78;3,78;8,16;;51,4681;5,3901;2,01;2,89;8,31;;51,3467;5,3888;4,46;5,27;10,60;;51,4137;5,4708;2,69;3,60;7,92;;51,4332;5,5197;2,86;3,83;9,38;;51,4372;5,4233;3,31;4,30;9,73;;51,4584;5,4050;3,67;4,79;9,30;;51,4447;5,4787;3,02;4,05;8,36;;51,4546;5,3887;2,82;3,94;8,34;;51,4492;5,4569;3,49;4,51;9,44;;51,4352;5,4795;1,79;2,75;7,92;;51,4375;5,4518;3,19;3,85;8,41;;51,4797;5,4751;1,85;2,78;6,96;;51,5296;5,4718;4,06;5,07;11,06;;51,4383;5,4815;3,60;4,59;9,53;;51,4687;5,4724;2,95;3,97;8,22;51,4390;5,4650;3,20;4,32;9,03;;51,4528;5,4851;6,80;7,83;11,67;;51,4320;5,6272;4,65;5,56;10,77;;51,5304;5,2843;5,01;6,19;14,04;
2021-05-10 00:00:00;2021-05-10 02:00:00;51,4379;5,3581;2,40;3,50;9,05;;51,5108;5,3606;3,12;4,63;13,34;;51,4915;5,4392;2,04;3,20;9,56;;51,4024;5,3515;8,07;9,08;13,37;;51,4569;5,4384;2,02;2,84;7,86;;51,4465;5,4484;2,30;3,41;7,89;;51,4422;5,4844;2,42;3,52;7,53;;51,3706;5,1565;3,74;4,77;10,42;;51,4454;5,4854;2,34;3,34;7,67;;51,4415;5,4714;2,23;3,38;8,12;;51,4681;5,3901;1,53;2,52;7,64;;51,3467;5,3888;3,88;4,79;10,04;;51,4137;5,4708;1,77;2,72;7,05;;51,4332;5,5198;3,38;4,68;10,89;;51,4372;5,4233;3,24;4,43;10,08;;51,4584;5,4050;3,17;4,41;9,12;;51,4445;5,4787;2,32;3,45;7,98;;51,4546;5,3887;2,51;3,76;8,27;;51,4492;5,4570;2,69;3,89;9,09;;51,4350;5,4798;1,58;2,72;8,02;;51,4375;5,4518;2,40;3,16;8,21;;51,4797;5,4751;1,54;2,60;6,71;;51,5296;5,4718;3,66;4,78;10,29;;51,4387;5,4820;3,03;4,20;9,29;;51,4687;5,4724;2,25;3,42;8,40;51,4390;5,4650;2,94;4,45;10,38;;51,4528;5,4851;6,85;8,03;12,05;;51,4320;5,6272;3,58;4,57;9,88;;51,5304;5,2845;4,63;5,88;14,37;
2021-05-11 00:00:00;2021-05-11 02:00:00;51,4379;5,3582;8,49;10,89;17,22;;51,5108;5,3606;6,88;9,23;17,59;;51,4915;5,4392;5,38;7,72;15,82;;51,4024;5,3515;13,33;15,49;22,60;;51,4568;5,4383;4,74;6,25;12,43;;51,4464;5,4483;6,61;8,77;13,79;;51,4422;5,4844;6,37;8,65;13,71;;51,3706;5,1565;7,93;10,02;17,41;;51,4454;5,4854;6,17;8,18;13,35;;51,4416;5,4713;5,99;8,27;13,65;;51,4681;5,3901;5,92;7,98;13,93;;51,3467;5,3888;8,45;10,30;17,43;;51,4137;5,4708;5,98;7,88;12,94;;51,4333;5,5198;5,77;7,81;15,67;;51,4372;5,4233;6,21;8,34;16,08;;51,4584;5,4050;8,22;10,65;16,68;;51,4445;5,4787;6,39;8,57;14,28;;51,4546;5,3887;6,91;9,39;14,82;;51,4492;5,4569;7,76;10,18;15,79;;51,4352;5,4795;5,29;7,49;13,28;;51,4375;5,4518;6,74;8,27;14,96;;51,4797;5,4751;4,68;6,81;11,38;;51,5295;5,4719;7,30;9,47;16,58;;51,4390;5,4821;7,69;10,03;15,72;;51,4687;5,4724;7,29;9,57;15,56;51,4390;5,4650;6,82;9,45;15,43;;51,4528;5,4851;12,68;15,14;20,37;;51,4320;5,6272;8,02;10,04;17,65;;51,5304;5,2845;8,44;10,72;18,89;
2021-05-12 00:00:00;2021-05-12 02:00:00;51,4379;5,3582;9,47;12,06;18,17;;51,5108;5,3606;8,28;10,74;17,43;;51,4915;5,4392;6,98;9,66;16,92;;51,4024;5,3515;13,71;15,98;22,52;;51,4568;5,4383;6,32;8,26;14,61;;51,4465;5,4484;8,40;10,88;16,08;;51,4422;5,4844;8,50;11,14;16,39;;51,3706;5,1565;8,30;10,28;16,31;;51,4454;5,4854;8,19;10,70;15,83;;51,4415;5,4715;7,88;10,45;15,40;;51,4681;5,3901;7,61;9,89;15,65;;51,3467;5,3888;9,48;11,45;17,61;;51,4137;5,4708;8,05;10,26;15,23;;51,4333;5,5197;7,34;9,78;17,51;;51,4372;5,4233;7,55;9,97;17,12;;51,4584;5,4050;10,01;12,84;18,98;;51,4445;5,4787;8,66;11,28;16,91;;51,4546;5,3887;8,67;11,43;16,65;;51,4492;5,4569;9,95;12,76;18,49;;51,4352;5,4795;7,45;10,02;15,37;;51,4375;5,4518;8,49;10,30;17,48;;51,4797;5,4751;7,01;9,43;13,91;;51,5295;5,4719;9,56;12,14;19,17;;51,4390;5,4822;10,46;13,28;18,94;;51,4687;5,4724;9,98;12,81;18,47;51,4390;5,4650;8,94;11,95;17,84;;51,4528;5,4851;14,88;17,62;23,06;;51,4320;5,6272;10,47;13,07;20,80;;51,5304;5,2846;9,31;11,90;19,88;
2021-05-13 00:00:00;2021-05-13 02:00:00;51,4379;5,3581;11,35;13,24;17,55;;51,5108;5,3606;9,61;11,50;17,38;;51,4915;5,4392;7,80;9,67;14,89;;51,4024;5,3515;15,17;16,87;21,49;;51,4569;5,4383;8,24;9,84;14,40;;51,4462;5,4481;10,75;12,58;16,85;;51,4422;5,4844;10,87;12,68;16,52;;51,3706;5,1565;10,39;11,58;15,75;;51,4454;5,4854;10,94;12,95;17,01;;51,4415;5,4716;10,16;12,09;16,17;;51,4681;5,3901;9,08;10,70;14,98;;51,3467;5,3888;12,41;13,80;18,51;;51,4137;5,4708;10,43;12,33;16,33;;51,4333;5,5198;9,11;10,95;15,91;;51,4372;5,4233;10,21;12,20;17,60;;51,4584;5,4050;12,70;14,88;19,60;;51,4444;5,4788;11,19;13,26;17,61;;51,4546;5,3887;10,80;12,90;17,12;;51,4491;5,4569;13,08;15,14;19,23;;51,4352;5,4795;9,70;11,55;15,82;;51,4375;5,4517;11,60;13,20;18,36;;51,4797;5,4751;8,37;10,05;13,92;;51,5295;5,4719;9,90;11,48;16,13;;51,4385;5,4823;13,49;15,83;20,55;;51,4687;5,4724;12,52;14,67;19,10;51,4390;5,4650;11,39;13,65;17,90;;51,4528;5,4851;17,91;19,99;24,17;;51,4320;5,6272;11,50;13,22;17,52;;51,5304;5,2846;10,29;12,00;17,55;
