Sensor,Time_UTC,Time_Local,Lat,Lon,PM1,PM2.5,PM10,NO2
I02,2021-01-01 00:00:00,2021-01-01 01:00:00,"51,4379","5,3582","27,78","33,11","37,81",24
I02,2021-01-02 00:00:00,2021-01-02 01:00:00,"51,4379","5,3582","31,84","45,09","51,59",19
I02,2021-01-03 00:00:00,2021-01-03 01:00:00,"51,4379","5,3582","23,72","34,22","38,46",13
I02,2021-01-04 00:00:00,2021-01-04 01:00:00,"51,4379","5,3582","5,35","5,97","7,94",9
I02,2021-01-05 00:00:00,2021-01-05 01:00:00,"51,4379","5,3581","21,11","23,40","24,02",10
I02,2021-01-06 00:00:00,2021-01-06 01:00:00,"51,4379","5,3582","17,20","19,00","22,28",19
I02,2021-01-07 00:00:00,2021-01-07 01:00:00,"51,4379","5,3582","5,82","6,87","10,19",16
I02,2021-01-08 00:00:00,2021-01-08 01:00:00,"51,4379","5,3582","3,68","4,16","6,64",11
I02,2021-01-09 00:00:00,2021-01-09 01:00:00,"51,4379","5,3582","20,46","22,61","25,42",19
I02,2021-01-10 00:00:00,2021-01-10 01:00:00,"51,4379","5,3581","30,88","35,01","39,48",37
I02,2021-01-11 00:00:00,2021-01-11 01:00:00,"51,4379","5,3582","24,48","28,19","31,85",23
I02,2021-01-12 00:00:00,2021-01-12 01:00:00,"51,4379","5,3582","3,23","5,22","10,35",17
I02,2021-01-13 00:00:00,2021-01-13 01:00:00,"51,4379","5,3582","9,52","13,57","22,70",34
I02,2021-01-14 00:00:00,2021-01-14 01:00:00,"51,4379","5,3581","7,43","9,94","15,40",27
I02,2021-01-15 00:00:00,2021-01-15 01:00:00,"51,4379","5,3582","20,88","23,20","27,13",25
I02,2021-01-16 00:00:00,2021-01-16 01:00:00,"51,4379","5,3582","27,06","29,60","31,53",28
I02,2021-01-17 00:00:00,2021-01-17 01:00:00,"51,4379","5,3581","16,77","22,21","29,52",17
I02,2021-01-18 00:00:00,2021-01-18 01:00:00,"51,4379","5,3581","12,69","17,39","26,34",18
I02,2021-01-19 00:00:00,2021-01-19 01:00:00,"51,4379","5,3582","5,24","7,00","11,35",6
I02,2021-01-20 00:00:00,2021-01-20 01:00:00,"51,4379","5,3581","4,19","5,33","8,85",7
I02,2021-01-21 00:00:00,2021-01-21 01:00:00,"51,4379","5,3582","2,62","4,49","9,51",14
I02,2021-01-22 00:00:00,2021-01-22 01:00:00,"51,4379","5,3582","7,66","9,98","15,50",34
I02,2021-01-23 00:00:00,2021-01-23 01:00:00,"51,4379","5,3581","11,28","13,39","17,70",28
I02,2021-01-24 00:00:00,2021-01-24 01:00:00,"51,4379","5,3581","11,50","13,31","17,41",23
I02,2021-01-25 00:00:00,2021-01-25 01:00:00,"51,4379","5,3582","17,86","20,20","25,14",27
I02,2021-01-26 00:00:00,2021-01-26 01:00:00,"51,4379","5,3582","7,83","11,33","19,19",18
I02,2021-01-27 00:00:00,2021-01-27 01:00:00,"51,4379","5,3581","16,16","21,02","25,24",22
I02,2021-01-28 00:00:00,2021-01-28 01:00:00,"51,4379","5,3582","10,89","14,09","17,41",15
I02,2021-01-29 00:00:00,2021-01-29 01:00:00,"51,4379","5,3581","7,68","12,49","21,01",15
I02,2021-01-30 00:00:00,2021-01-30 01:00:00,"51,4379","5,3582","11,89","12,94","15,38",18
I02,2021-01-31 00:00:00,2021-01-31 01:00:00,"51,4379","5,3582","21,91","23,55","24,75",26
I02,2021-02-01 00:00:00,2021-02-01 01:00:00,"51,4379","5,3581","30,97","36,47","40,64",33
I02,2021-02-02 00:00:00,2021-02-02 01:00:00,"51,4379","5,3582","19,94","24,73","29,77",15
I02,2021-02-03 00:00:00,2021-02-03 01:00:00,"51,4379","5,3581","8,60","12,18","18,05",15
I02,2021-02-04 00:00:00,2021-02-04 01:00:00,"51,4379","5,3582","9,34","14,35","26,75",23
I02,2021-02-05 00:00:00,2021-02-05 01:00:00,"51,4379","5,3582","11,01","14,21","21,49",30
I02,2021-02-06 00:00:00,2021-02-06 01:00:00,"51,4379","5,3582","28,53","34,56","37,62",23
I02,2021-02-07 00:00:00,2021-02-07 01:00:00,"51,4379","5,3581","18,99","21,89","24,82",11
I02,2021-02-08 00:00:00,2021-02-08 01:00:00,"51,4379","5,3581","20,25","24,03","28,21",18
I02,2021-02-09 00:00:00,2021-02-09 01:00:00,"51,4379","5,3582","19,69","23,03","26,67",30
I02,2021-02-10 00:00:00,2021-02-10 01:00:00,"51,4379","5,3581","18,48","21,21","24,64",32
I02,2021-02-11 00:00:00,2021-02-11 01:00:00,"51,4379","5,3582","13,91","15,76","19,16",30
I02,2021-02-12 00:00:00,2021-02-12 01:00:00,"51,4379","5,3581","17,81","20,35","24,48",47
I02,2021-02-13 00:00:00,2021-02-13 01:00:00,"51,4379","5,3582","14,53","16,70","20,91",58
I02,2021-02-14 00:00:00,2021-02-14 01:00:00,"51,4379","5,3581","6,83","8,07","11,92",43
I02,2021-02-15 00:00:00,2021-02-15 01:00:00,"51,4379","5,3581","10,49","12,84","17,30",23
I02,2021-02-16 00:00:00,2021-02-16 01:00:00,"51,4379","5,3582","8,96","10,90","15,13",12
I02,2021-02-17 00:00:00,2021-02-17 01:00:00,"51,4379","5,3582","7,69","12,61","22,57",14
I02,2021-02-18 00:00:00,2021-02-18 01:00:00,"51,4379","5,3582","5,10","7,60","13,74",21
I02,2021-02-19 00:00:00,2021-02-19 01:00:00,"51,4379","5,3582","7,45","9,87","15,69",18
I02,2021-02-20 00:00:00,2021-02-20 01:00:00,"51,4379","5,3582","8,45","12,20","26,73",14
I02,2021-02-21 00:00:00,2021-02-21 01:00:00,"51,4379","5,3581","6,94","9,25","16,67",25
I02,2021-02-22 00:00:00,2021-02-22 01:00:00,"51,4379","5,3582","8,20","11,87","24,34",33
I02,2021-02-23 00:00:00,2021-02-23 01:00:00,"51,4379","5,3582","10,24","16,84","39,41",21
I02,2021-02-24 00:00:00,2021-02-24 01:00:00,"51,4379","5,3582","11,72","20,01","47,88",20
I02,2021-02-25 00:00:00,2021-02-25 01:00:00,"51,4379","5,3582","16,54","25,76","54,36",26
I02,2021-02-26 00:00:00,2021-02-26 01:00:00,"51,4379","5,3582","8,55","12,78","21,67",27
I02,2021-02-27 00:00:00,2021-02-27 01:00:00,"51,4379","5,3581","21,67","26,04","32,51",20
I02,2021-02-28 00:00:00,2021-02-28 01:00:00,"51,4379","5,3581","21,06","24,22","29,11",18
I02,2021-03-01 00:00:00,2021-03-01 01:00:00,"51,4379","5,3582","32,03","38,74","42,57",22
I02,2021-03-02 00:00:00,2021-03-02 01:00:00,"51,4379","5,3582","26,76","32,23","37,61",52
I02,2021-03-03 00:00:00,2021-03-03 01:00:00,"51,4379","5,3582","31,99","44,88","54,53",68
I02,2021-03-04 00:00:00,2021-03-04 01:00:00,"51,4379","5,3582","23,92","37,50","43,97",28
I02,2021-03-05 00:00:00,2021-03-05 01:00:00,"51,4379","5,3582","7,65","9,53","14,13",30
I02,2021-03-06 00:00:00,2021-03-06 01:00:00,"51,4379","5,3582","7,45","9,69","14,89",35
I02,2021-03-07 00:00:00,2021-03-07 01:00:00,"51,4379","5,3582","15,77","17,71","21,63",37
I02,2021-03-08 00:00:00,2021-03-08 01:00:00,"51,4379","5,3582","35,42","42,78","49,11",55
I02,2021-03-09 00:00:00,2021-03-09 01:00:00,"51,4379","5,3582","17,47","21,93","26,70",42
I02,2021-03-10 00:00:00,2021-03-10 01:00:00,"51,4379","5,3582","28,00","32,21","37,72",36
I02,2021-03-11 00:00:00,2021-03-11 01:00:00,"51,4379","5,3582","9,91","13,25","19,45",39
I03,2021-01-01 00:00:00,2021-01-01 01:00:00,,,,,,
I03,2021-01-02 00:00:00,2021-01-02 01:00:00,,,,,,
I03,2021-01-03 00:00:00,2021-01-03 01:00:00,,,,,,
I03,2021-01-04 00:00:00,2021-01-04 01:00:00,,,,,,
I03,2021-01-05 00:00:00,2021-01-05 01:00:00,,,,,,
I03,2021-01-06 00:00:00,2021-01-06 01:00:00,,,,,,
I03,2021-01-07 00:00:00,2021-01-07 01:00:00,,,,,,
I03,2021-01-08 00:00:00,2021-01-08 01:00:00,,,,,,
I03,2021-01-09 00:00:00,2021-01-09 01:00:00,,,,,,
I03,2021-01-10 00:00:00,2021-01-10 01:00:00,,,,,,
I03,2021-01-11 00:00:00,2021-01-11 01:00:00,,,,,,
I03,2021-01-12 00:00:00,2021-01-12 01:00:00,,,,,,
I03,2021-01-13 00:00:00,2021-01-13 01:00:00,,,,,,
I03,2021-01-14 00:00:00,2021-01-14 01:00:00,,,,,,
I03,2021-01-15 00:00:00,2021-01-15 01:00:00,,,,,,
I03,2021-01-16 00:00:00,2021-01-16 01:00:00,,,,,,
I03,2021-01-17 00:00:00,2021-01-17 01:00:00,,,,,,
I03,2021-01-18 00:00:00,2021-01-18 01:00:00,,,,,,
I03,2021-01-19 00:00:00,2021-01-19 01:00:00,,,,,,
I03,2021-01-20 00:00:00,2021-01-20 01:00:00,,,,,,
I03,2021-01-21 00:00:00,2021-01-21 01:00:00,,,,,,
I03,2021-01-22 00:00:00,2021-01-22 01:00:00,,,,,,
I03,2021-01-23 00:00:00,2021-01-23 01:00:00,,,,,,
I03,2021-01-24 00:00:00,2021-01-24 01:00:00,,,,,,
I03,2021-01-25 00:00:00,2021-01-25 01:00:00,,,,,,
I03,2021-01-26 00:00:00,2021-01-26 01:00:00,,,,,,
I03,2021-01-27 00:00:00,2021-01-27 01:00:00,,,,,,
I03,2021-01-28 00:00:00,2021-01-28 01:00:00,,,,,,
I03,2021-01-29 00:00:00,2021-01-29 01:00:00,,,,,,
I03,2021-01-30 00:00:00,2021-01-30 01:00:00,,,,,,
I03,2021-01-31 00:00:00,2021-01-31 01:00:00,,,,,,
I03,2021-02-01 00:00:00,2021-02-01 01:00:00,,,,,,
I03,2021-02-02 00:00:00,2021-02-02 01:00:00,,,,,,
I03,2021-02-03 00:00:00,2021-02-03 01:00:00,,,,,,
I03,2021-02-04 00:00:00,2021-02-04 01:00:00,,,,,,
I03,2021-02-05 00:00:00,2021-02-05 01:00:00,,,,,,
I03,2021-02-06 00:00:00,2021-02-06 01:00:00,,,,,,
I03,2021-02-07 00:00:00,2021-02-07 01:00:00,,,,,,
I03,2021-02-08 00:00:00,2021-02-08 01:00:00,,,,,,
I03,2021-02-09 00:00:00,2021-02-09 01:00:00,,,,,,
I03,2021-02-10 00:00:00,2021-02-10 01:00:00,,,,,,
I03,2021-02-11 00:00:00,2021-02-11 01:00:00,,,,,,
I03,2021-02-12 00:00:00,2021-02-12 01:00:00,,,,,,
I03,2021-02-13 00:00:00,2021-02-13 01:00:00,,,,,,
I03,2021-02-14 00:00:00,2021-02-14 01:00:00,,,,,,
I03,2021-02-15 00:00:00,2021-02-15 01:00:00,,,,,,
I03,2021-02-16 00:00:00,2021-02-16 01:00:00,,,,,,
I03,2021-02-17 00:00:00,2021-02-17 01:00:00,,,,,,
I03,2021-02-18 00:00:00,2021-02-18 01:00:00,,,,,,
I03,2021-02-19 00:00:00,2021-02-19 01:00:00,,,,,,
I03,2021-02-20 00:00:00,2021-02-20 01:00:00,,,,,,
I03,2021-02-21 00:00:00,2021-02-21 01:00:00,,,,,,
I03,2021-02-22 00:00:00,2021-02-22 01:00:00,,,,,,
I03,2021-02-23 00:00:00,2021-02-23 01:00:00,,,,,,
I03,2021-02-24 00:00:00,2021-02-24 01:00:00,,,,,,
I03,2021-02-25 00:00:00,2021-02-25 01:00:00,,,,,,
I03,2021-02-26 00:00:00,2021-02-26 01:00:00,,,,,,
I03,2021-02-27 00:00:00,2021-02-27 01:00:00,,,,,,
I03,2021-02-28 00:00:00,2021-02-28 01:00:00,,,,,,
I03,2021-03-01 00:00:00,2021-03-01 01:00:00,,,,,,
I03,2021-03-02 00:00:00,2021-03-02 01:00:00,,,,,,
I03,2021-03-03 00:00:00,2021-03-03 01:00:00,,,,,,
I03,2021-03-04 00:00:00,2021-03-04 01:00:00,,,,,,
I03,2021-03-05 00:00:00,2021-03-05 01:00:00,,,,,,
I03,2021-03-06 00:00:00,2021-03-06 01:00:00,,,,,,
I03,2021-03-07 00:00:00,2021-03-07 01:00:00,,,,,,
I03,2021-03-08 00:00:00,2021-03-08 01:00:00,,,,,,
I03,2021-03-09 00:00:00,2021-03-09 01:00:00,,,,,,
I03,2021-03-10 00:00:00,2021-03-10 01:00:00,"51,5108","5,3606","21,44","23,79","29,01",2
I03,2021-03-11 00:00:00,2021-03-11 01:00:00,"51,5108","5,3606","8,61","11,81","20,92",8
I04,2021-01-01 00:00:00,2021-01-01 01:00:00,,,,,,
I04,2021-01-02 00:00:00,2021-01-02 01:00:00,,,,,,
I04,2021-01-03 00:00:00,2021-01-03 01:00:00,,,,,,
I04,2021-01-04 00:00:00,2021-01-04 01:00:00,,,,,,
I04,2021-01-05 00:00:00,2021-01-05 01:00:00,,,,,,
I04,2021-01-06 00:00:00,2021-01-06 01:00:00,,,,,,
I04,2021-01-07 00:00:00,2021-01-07 01:00:00,"51,4915","5,4392","3,26","4,61","9,01",6
I04,2021-01-08 00:00:00,2021-01-08 01:00:00,"51,4915","5,4392","4,80","5,38","8,08",23
I04,2021-01-09 00:00:00,2021-01-09 01:00:00,"51,4915","5,4392","13,28","14,96","19,16",25
I04,2021-01-10 00:00:00,2021-01-10 01:00:00,"51,4915","5,4392","20,48","23,01","28,18",41
I04,2021-01-11 00:00:00,2021-01-11 01:00:00,"51,4915","5,4392","17,23","19,67","23,72",29
I04,2021-01-12 00:00:00,2021-01-12 01:00:00,"51,4915","5,4392","3,15","5,11","10,48",30
I04,2021-01-13 00:00:00,2021-01-13 01:00:00,"51,4915","5,4392","7,07","11,20","21,49",43
I04,2021-01-14 00:00:00,2021-01-14 01:00:00,"51,4915","5,4392","6,36","8,74","15,26",35
I04,2021-01-15 00:00:00,2021-01-15 01:00:00,"51,4915","5,4392","14,71","16,34","20,47",32
I04,2021-01-16 00:00:00,2021-01-16 01:00:00,"51,4915","5,4392","19,11","20,70","23,86",32
I04,2021-01-17 00:00:00,2021-01-17 01:00:00,"51,4915","5,4392","13,14","17,74","26,38",20
I04,2021-01-18 00:00:00,2021-01-18 01:00:00,"51,4915","5,4392","9,34","13,98","24,47",25
I04,2021-01-19 00:00:00,2021-01-19 01:00:00,"51,4915","5,4392","4,42","6,12","11,49",10
I04,2021-01-20 00:00:00,2021-01-20 01:00:00,"51,4915","5,4392","3,59","4,71","8,91",12
I04,2021-01-21 00:00:00,2021-01-21 01:00:00,"51,4915","5,4392","2,86","4,69","10,73",17
I04,2021-01-22 00:00:00,2021-01-22 01:00:00,"51,4915","5,4392","6,71","9,03","14,88",42
I04,2021-01-23 00:00:00,2021-01-23 01:00:00,"51,4915","5,4392","8,66","10,79","16,09",31
I04,2021-01-24 00:00:00,2021-01-24 01:00:00,"51,4915","5,4392","7,76","9,43","14,19",20
I04,2021-01-25 00:00:00,2021-01-25 01:00:00,"51,4915","5,4392","11,34","13,27","18,83",36
I04,2021-01-26 00:00:00,2021-01-26 01:00:00,"51,4915","5,4392","6,29","9,74","18,89",31
I04,2021-01-27 00:00:00,2021-01-27 01:00:00,"51,4915","5,4392","12,27","15,97","20,57",33
I04,2021-01-28 00:00:00,2021-01-28 01:00:00,"51,4915","5,4392","9,04","11,63","14,69",25
I04,2021-01-29 00:00:00,2021-01-29 01:00:00,"51,4915","5,4392","6,04","10,59","20,62",15
I04,2021-01-30 00:00:00,2021-01-30 01:00:00,"51,4915","5,4392","7,51","8,28","11,16",17
I04,2021-01-31 00:00:00,2021-01-31 01:00:00,"51,4915","5,4392","15,14","16,13","18,32",24
I04,2021-02-01 00:00:00,2021-02-01 01:00:00,"51,4915","5,4392","21,70","24,89","29,25",33
I04,2021-02-02 00:00:00,2021-02-02 01:00:00,"51,4915","5,4392","14,88","18,63","24,18",24
I04,2021-02-03 00:00:00,2021-02-03 01:00:00,"51,4915","5,4392","6,73","10,16","17,57",27
I04,2021-02-04 00:00:00,2021-02-04 01:00:00,"51,4915","5,4392","7,80","13,25","27,77",26
I04,2021-02-05 00:00:00,2021-02-05 01:00:00,"51,4915","5,4392","8,26","11,61","20,58",37
I04,2021-02-06 00:00:00,2021-02-06 01:00:00,"51,4915","5,4392","20,17","23,51","26,92",23
I04,2021-02-07 00:00:00,2021-02-07 01:00:00,"51,4915","5,4392","14,39","16,30","19,52",11
I04,2021-02-08 00:00:00,2021-02-08 01:00:00,"51,4915","5,4392","14,19","16,42","20,26",18
I04,2021-02-09 00:00:00,2021-02-09 01:00:00,"51,4915","5,4392","14,38","16,33","19,92",33
I04,2021-02-10 00:00:00,2021-02-10 01:00:00,"51,4915","5,4392","12,61","14,34","17,91",38
I04,2021-02-11 00:00:00,2021-02-11 01:00:00,"51,4915","5,4392","8,65","9,86","13,51",42
I04,2021-02-12 00:00:00,2021-02-12 01:00:00,"51,4915","5,4392","13,01","14,68","18,78",43
I04,2021-02-13 00:00:00,2021-02-13 01:00:00,"51,4915","5,4392","11,50","13,20","17,36",53
I04,2021-02-14 00:00:00,2021-02-14 01:00:00,"51,4915","5,4392","6,16","7,20","10,78",34
I04,2021-02-15 00:00:00,2021-02-15 01:00:00,"51,4915","5,4392","7,89","10,08","15,67",18
I04,2021-02-16 00:00:00,2021-02-16 01:00:00,"51,4915","5,4392","6,43","8,32","13,79",16
I04,2021-02-17 00:00:00,2021-02-17 01:00:00,"51,4915","5,4392","6,35","11,34","24,22",16
I04,2021-02-18 00:00:00,2021-02-18 01:00:00,"51,4915","5,4392","4,33","7,02","14,20",23
I04,2021-02-19 00:00:00,2021-02-19 01:00:00,"51,4915","5,4392","6,01","8,73","16,47",24
I04,2021-02-20 00:00:00,2021-02-20 01:00:00,"51,4915","5,4392","6,53","11,41","32,91",16
I04,2021-02-21 00:00:00,2021-02-21 01:00:00,"51,4915","5,4392","5,36","8,06","17,90",19
I04,2021-02-22 00:00:00,2021-02-22 01:00:00,"51,4915","5,4392","6,17","10,22","25,96",40
I04,2021-02-23 00:00:00,2021-02-23 01:00:00,"51,4915","5,4392","7,77","15,88","45,64",23
I04,2021-02-24 00:00:00,2021-02-24 01:00:00,"51,4915","5,4392","9,15","19,60","56,37",23
I04,2021-02-25 00:00:00,2021-02-25 01:00:00,"51,4915","5,4392","11,20","22,11","57,76",37
I04,2021-02-26 00:00:00,2021-02-26 01:00:00,"51,4915","5,4392","6,36","10,57","21,12",47
I04,2021-02-27 00:00:00,2021-02-27 01:00:00,"51,4915","5,4392","14,75","18,96","26,72",37
I04,2021-02-28 00:00:00,2021-02-28 01:00:00,"51,4915","5,4392","13,07","15,30","20,59",24
I04,2021-03-01 00:00:00,2021-03-01 01:00:00,"51,4915","5,4392","21,73","24,53","28,30",23
I04,2021-03-02 00:00:00,2021-03-02 01:00:00,"51,4915","5,4392","19,19","22,95","28,69",47
I04,2021-03-03 00:00:00,2021-03-03 01:00:00,"51,4915","5,4392","24,19","33,47","44,59",68
I04,2021-03-04 00:00:00,2021-03-04 01:00:00,"51,4915","5,4392","18,87","30,77","36,72",42
I04,2021-03-05 00:00:00,2021-03-05 01:00:00,"51,4915","5,4392","5,36","6,96","12,13",56
I04,2021-03-06 00:00:00,2021-03-06 01:00:00,"51,4915","5,4392","6,13","8,24","14,33",46
I04,2021-03-07 00:00:00,2021-03-07 01:00:00,"51,4915","5,4392","10,34","11,83","16,04",30
I04,2021-03-08 00:00:00,2021-03-08 01:00:00,"51,4915","5,4392","25,61","29,81","35,86",48
I04,2021-03-09 00:00:00,2021-03-09 01:00:00,"51,4915","5,4392","13,55","16,07","20,73",27
I04,2021-03-10 00:00:00,2021-03-10 01:00:00,"51,4915","5,4392","18,85","21,47","27,15",16
I04,2021-03-11 00:00:00,2021-03-11 01:00:00,"51,4915","5,4392","7,43","10,61","19,80",18
I07,2021-01-01 00:00:00,2021-01-01 01:00:00,,,,,,
I07,2021-01-02 00:00:00,2021-01-02 01:00:00,,,,,,
I07,2021-01-03 00:00:00,2021-01-03 01:00:00,,,,,,
I07,2021-01-04 00:00:00,2021-01-04 01:00:00,,,,,,
I07,2021-01-05 00:00:00,2021-01-05 01:00:00,,,,,,
I07,2021-01-06 00:00:00,2021-01-06 01:00:00,,,,,,
I07,2021-01-07 00:00:00,2021-01-07 01:00:00,,,,,,
I07,2021-01-08 00:00:00,2021-01-08 01:00:00,,,,,,
I07,2021-01-09 00:00:00,2021-01-09 01:00:00,,,,,,
I07,2021-01-10 00:00:00,2021-01-10 01:00:00,,,,,,
I07,2021-01-11 00:00:00,2021-01-11 01:00:00,"51,4568","5,4383","12,72","14,60","19,15",8
I07,2021-01-12 00:00:00,2021-01-12 01:00:00,"51,4568","5,4383","2,95","4,30","9,29",18
I07,2021-01-13 00:00:00,2021-01-13 01:00:00,"51,4567","5,4382","7,14","9,91","19,10",35
I07,2021-01-14 00:00:00,2021-01-14 01:00:00,"51,4567","5,4382","6,39","8,34","14,20",28
I07,2021-01-15 00:00:00,2021-01-15 01:00:00,"51,4567","5,4382","14,97","16,40","20,34",31
I07,2021-01-16 00:00:00,2021-01-16 01:00:00,"51,4568","5,4383","19,44","20,95","23,82",29
I07,2021-01-17 00:00:00,2021-01-17 01:00:00,"51,4569","5,4383","12,51","15,87","22,90",17
I07,2021-01-18 00:00:00,2021-01-18 01:00:00,"51,4568","5,4382","9,22","12,38","21,93",23
I07,2021-01-19 00:00:00,2021-01-19 01:00:00,"51,4568","5,4382","4,52","5,81","10,66",12
I07,2021-01-20 00:00:00,2021-01-20 01:00:00,"51,4568","5,4383","3,83","4,72","8,56",14
I07,2021-01-21 00:00:00,2021-01-21 01:00:00,"51,4569","5,4385","2,82","4,28","9,64",16
I07,2021-01-22 00:00:00,2021-01-22 01:00:00,"51,4566","5,4383","6,06","7,50","12,40",35
I07,2021-01-23 00:00:00,2021-01-23 01:00:00,"51,4567","5,4382","8,85","10,38","15,19",25
I07,2021-01-24 00:00:00,2021-01-24 01:00:00,"51,4568","5,4384","8,47","9,72","13,82",19
I07,2021-01-25 00:00:00,2021-01-25 01:00:00,"51,4568","5,4384","13,25","14,85","19,88",30
I07,2021-01-26 00:00:00,2021-01-26 01:00:00,"51,4568","5,4384","6,20","8,69","17,76",22
I07,2021-01-27 00:00:00,2021-01-27 01:00:00,"51,4568","5,4382","12,29","15,20","19,10",30
I07,2021-01-28 00:00:00,2021-01-28 01:00:00,"51,4569","5,4383","8,08","10,09","12,97",28
I07,2021-01-29 00:00:00,2021-01-29 01:00:00,"51,4567","5,4382","5,55","9,05","18,76",12
I07,2021-01-30 00:00:00,2021-01-30 01:00:00,"51,4568","5,4382","8,29","8,98","11,99",15
I07,2021-01-31 00:00:00,2021-01-31 01:00:00,"51,4567","5,4383","15,61","16,61","18,42",23
I07,2021-02-01 00:00:00,2021-02-01 01:00:00,"51,4568","5,4383","22,89","25,96","30,01",33
I07,2021-02-02 00:00:00,2021-02-02 01:00:00,"51,4566","5,4381","14,98","17,85","23,10",23
I07,2021-02-03 00:00:00,2021-02-03 01:00:00,"51,4566","5,4383","6,06","8,50","15,17",19
I07,2021-02-04 00:00:00,2021-02-04 01:00:00,"51,4568","5,4381","6,94","10,39","23,09",21
I07,2021-02-05 00:00:00,2021-02-05 01:00:00,"51,4568","5,4384","7,30","9,57","17,36",25
I07,2021-02-06 00:00:00,2021-02-06 01:00:00,"51,4568","5,4384","21,35","25,11","28,80",21
I07,2021-02-07 00:00:00,2021-02-07 01:00:00,"51,4567","5,4383","13,31","15,22","18,52",11
I07,2021-02-08 00:00:00,2021-02-08 01:00:00,"51,4568","5,4382","13,67","16,06","20,07",11
I07,2021-02-09 00:00:00,2021-02-09 01:00:00,"51,4568","5,4384","13,72","15,96","19,77",21
I07,2021-02-10 00:00:00,2021-02-10 01:00:00,"51,4568","5,4384","12,37","14,19","17,95",21
I07,2021-02-11 00:00:00,2021-02-11 01:00:00,"51,4568","5,4384","8,41","9,55","13,00",33
I07,2021-02-12 00:00:00,2021-02-12 01:00:00,"51,4569","5,4384","12,37","14,04","18,09",30
I07,2021-02-13 00:00:00,2021-02-13 01:00:00,"51,4567","5,4382","10,51","12,06","16,02",41
I07,2021-02-14 00:00:00,2021-02-14 01:00:00,"51,4568","5,4381","5,76","6,52","9,80",24
I07,2021-02-15 00:00:00,2021-02-15 01:00:00,"51,4567","5,4383","8,49","10,09","14,88",20
I07,2021-02-16 00:00:00,2021-02-16 01:00:00,"51,4567","5,4384","6,32","7,54","11,72",17
I07,2021-02-17 00:00:00,2021-02-17 01:00:00,"51,4566","5,4383","5,83","9,51","21,28",16
I07,2021-02-18 00:00:00,2021-02-18 01:00:00,"51,4566","5,4383","4,44","6,28","13,46",21
I07,2021-02-19 00:00:00,2021-02-19 01:00:00,"51,4568","5,4383","5,72","7,36","13,45",22
I07,2021-02-20 00:00:00,2021-02-20 01:00:00,"51,4569","5,4383","6,26","9,36","24,57",16
I07,2021-02-21 00:00:00,2021-02-21 01:00:00,"51,4568","5,4383","4,88","6,74","14,97",18
I07,2021-02-22 00:00:00,2021-02-22 01:00:00,"51,4569","5,4383","5,84","8,41","19,56",38
I07,2021-02-23 00:00:00,2021-02-23 01:00:00,"51,4568","5,4383","7,12","12,31","34,90",25
I07,2021-02-24 00:00:00,2021-02-24 01:00:00,"51,4568","5,4383","8,09","14,58","40,96",24
I07,2021-02-25 00:00:00,2021-02-25 01:00:00,"51,4568","5,4385","10,74","17,87","46,31",34
I07,2021-02-26 00:00:00,2021-02-26 01:00:00,"51,4568","5,4384","6,15","9,25","19,55",34
I07,2021-02-27 00:00:00,2021-02-27 01:00:00,"51,4568","5,4382","16,16","19,77","27,86",25
I07,2021-02-28 00:00:00,2021-02-28 01:00:00,"51,4569","5,4382","14,84","16,96","22,54",20
I07,2021-03-01 00:00:00,2021-03-01 01:00:00,"51,4569","5,4383","23,85","27,73","32,03",26
I07,2021-03-02 00:00:00,2021-03-02 01:00:00,"51,4567","5,4383","19,14","22,57","28,08",46
I07,2021-03-03 00:00:00,2021-03-03 01:00:00,"51,4568","5,4383","23,88","32,64","42,29",69
I07,2021-03-04 00:00:00,2021-03-04 01:00:00,"51,4568","5,4382","19,05","29,86","36,97",32
I07,2021-03-05 00:00:00,2021-03-05 01:00:00,"51,4569","5,4383","5,85","7,18","11,78",22
I07,2021-03-06 00:00:00,2021-03-06 01:00:00,"51,4568","5,4384","6,29","8,03","14,13",27
I07,2021-03-07 00:00:00,2021-03-07 01:00:00,"51,4569","5,4384","10,74","12,05","16,23",27
I07,2021-03-08 00:00:00,2021-03-08 01:00:00,"51,4569","5,4383","26,69","31,01","37,16",34
I07,2021-03-09 00:00:00,2021-03-09 01:00:00,"51,4566","5,4381","14,15","16,84","21,11",24
I07,2021-03-10 00:00:00,2021-03-10 01:00:00,"51,4566","5,4381","19,88","22,25","27,38",19
I07,2021-03-11 00:00:00,2021-03-11 01:00:00,"51,4567","5,4383","7,79","10,33","17,62",13
I08,2021-01-01 00:00:00,2021-01-01 01:00:00,,,,,,
I08,2021-01-02 00:00:00,2021-01-02 01:00:00,,,,,,
I08,2021-01-03 00:00:00,2021-01-03 01:00:00,,,,,,
I08,2021-01-04 00:00:00,2021-01-04 01:00:00,,,,,,
I08,2021-01-05 00:00:00,2021-01-05 01:00:00,,,,,,
I08,2021-01-06 00:00:00,2021-01-06 01:00:00,,,,,,
I08,2021-01-07 00:00:00,2021-01-07 01:00:00,,,,,,
I08,2021-01-08 00:00:00,2021-01-08 01:00:00,,,,,,
I08,2021-01-09 00:00:00,2021-01-09 01:00:00,,,,,,
I08,2021-01-10 00:00:00,2021-01-10 01:00:00,,,,,,
I08,2021-01-11 00:00:00,2021-01-11 01:00:00,,,,,,
I08,2021-01-12 00:00:00,2021-01-12 01:00:00,,,,,,
