;;"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I14";"I14";"I14";"I14";"I14";"I14";"I17";"I17";"I17";"I17";"I17";"I17";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40"
2021-01-09 00:00:00;2021-01-09 01:00:00;51,4379;5,3582;20,46;22,61;25,42;19;;;;;;;51,4915;5,4392;13,28;14,96;19,16;25;;;;;;;;;;;;;51,4422;5,4844;16,66;18,20;21,22;29;51,4454;5,4854;17,77;19,58;22,68;23;51,4416;5,4714;15,05;16,60;19,50;13;;;;;;;;;;;;;51,4332;5,5197;13,22;14,72;18,82;32;;;;;;;;;;;;;51,4447;5,4787;18,16;20,13;23,62;22;51,4546;5,3887;16,43;18,06;21,03;20;;;;;;;51,4351;5,4798;15,99;17,54;20,73;22;51,4374;5,4515;16,03;17,61;21,62;33;51,4797;5,4751;13,69;15,09;18,12;21;51,4388;5,4822;19,95;22,21;25,48;29;51,4684;5,4723;18,88;20,85;24,41;51,4390;5,4650;17,27;18,97;21,72;20;51,4528;5,4851;21,00;23,04;26,36;33
2021-01-10 00:00:00;2021-01-10 01:00:00;51,4379;5,3581;30,88;35,01;39,48;37;;;;;;;51,4915;5,4392;20,48;23,01;28,18;41;;;;;;;;;;;;;51,4422;5,4844;23,78;26,11;30,35;32;51,4454;5,4854;25,72;28,58;32,85;34;51,4414;5,4713;22,57;25,11;29,20;28;;;;;;;;;;;;;51,4332;5,5197;20,24;23,13;28,63;43;;;;;;;;;;;;;51,4444;5,4786;25,58;28,63;33,76;28;51,4545;5,3888;25,97;28,81;33,06;35;;;;;;;51,4351;5,4798;24,27;26,76;31,40;26;51,4375;5,4517;22,12;24,77;30,18;45;51,4797;5,4751;22,78;24,79;28,44;33;51,4387;5,4822;28,70;32,10;37,17;42;51,4684;5,4723;29,43;32,75;37,79;51,4390;5,4650;26,30;28,99;32,99;38;51,4528;5,4851;30,95;34,07;38,41;50
2021-01-11 00:00:00;2021-01-11 01:00:00;51,4379;5,3582;24,48;28,19;31,85;23;;;;;;;51,4915;5,4392;17,23;19,67;23,72;29;51,4568;5,4383;12,72;14,60;19,15;8;;;;;;;51,4422;5,4844;21,38;23,47;26,34;14;51,4454;5,4854;22,75;25,47;28,56;26;51,4413;5,4713;19,34;21,63;24,70;20;;;;;;;51,4136;5,4707;14,87;17,06;20,88;3;51,4332;5,5197;19,04;22,25;27,32;32;51,4372;5,4233;14,30;16,80;21,93;3;;;;;;;51,4444;5,4787;22,41;25,34;28,82;16;51,4545;5,3888;21,30;23,80;26,59;23;;;;;;;51,4351;5,4798;21,26;23,55;26,70;9;51,4375;5,4517;18,93;21,52;26,18;34;51,4797;5,4751;21,76;23,61;26,43;25;51,4388;5,4825;24,86;28,16;31,85;36;51,4684;5,4723;26,65;29,97;33,13;51,4390;5,4650;23,34;25,88;28,80;28;51,4528;5,4851;27,05;30,02;33,28;38
2021-01-12 00:00:00;2021-01-12 01:00:00;51,4379;5,3582;3,23;5,22;10,35;17;;;;;;;51,4915;5,4392;3,15;5,11;10,48;30;51,4568;5,4383;2,95;4,30;9,29;18;;;;;;;51,4422;5,4844;3,69;5,60;9,70;15;51,4454;5,4854;4,15;5,98;9,98;24;51,4414;5,4714;3,30;5,05;9,27;18;;;;;;;51,4136;5,4707;3,01;4,71;9,13;20;51,4332;5,5198;3,47;5,15;11,21;35;51,4372;5,4233;3,77;5,47;11,05;19;;;;;;;51,4444;5,4788;4,01;5,92;10,26;19;51,4545;5,3888;3,97;6,09;10,02;11;;;;;;;51,4351;5,4798;3,66;5,50;10,06;21;51,4374;5,4516;4,07;5,39;10,63;34;51,4797;5,4751;3,52;5,18;9,22;20;51,4389;5,4817;4,95;6,97;11,36;37;51,4684;5,4723;4,30;6,33;10,71;51,4390;5,4650;4,86;6,95;11,12;28;51,4528;5,4851;4,91;6,91;11,02;43
2021-01-13 00:00:00;2021-01-13 01:00:00;51,4379;5,3582;9,52;13,57;22,70;34;;;;;;;51,4915;5,4392;7,07;11,20;21,49;43;51,4567;5,4382;7,14;9,91;19,10;35;;;;;;;51,4422;5,4844;8,83;12,84;20,18;30;51,4454;5,4854;9,45;13,06;20,15;30;51,4415;5,4714;7,76;11,52;18,64;32;;;;;;;51,4136;5,4707;8,26;11,65;19,03;29;51,4331;5,5198;7,33;10,91;22,77;40;51,4372;5,4233;7,25;10,69;22,25;41;;;;;;;51,4444;5,4788;9,08;12,95;20,97;30;51,4545;5,3888;9,09;13,37;20,54;30;;;;;;;51,4351;5,4798;8,31;12,12;19,39;34;51,4374;5,4516;8,41;10,98;21,84;42;51,4797;5,4751;8,29;12,04;18,66;25;51,4386;5,4819;10,85;15,06;23,19;49;51,4684;5,4723;10,34;14,41;22,54;51,4390;5,4650;10,68;15,46;22,96;40;51,4528;5,4851;11,43;15,45;23,28;53
2021-01-14 00:00:00;2021-01-14 01:00:00;51,4379;5,3581;7,43;9,94;15,40;27;;;;;;;51,4915;5,4392;6,36;8,74;15,26;35;51,4567;5,4382;6,39;8,34;14,20;28;;;;;;;51,4422;5,4844;7,24;9,70;15,23;26;51,4454;5,4854;7,86;10,33;15,24;21;51,4414;5,4714;6,33;8,68;13,66;27;;;;;;;51,4136;5,4708;6,39;8,56;13,35;24;51,4333;5,5198;5,28;7,31;13,66;30;51,4372;5,4233;6,38;8,64;15,68;43;;;;;;;51,4444;5,4788;7,24;9,71;14,95;28;51,4545;5,3888;7,25;9,82;14,72;32;;;;;;;51,4351;5,4798;6,45;8,91;14,24;27;51,4375;5,4517;7,43;9,33;16,70;42;51,4797;5,4751;7,22;9,50;13,91;18;51,4387;5,4820;8,36;10,99;16,39;32;51,4684;5,4723;8,97;11,54;16,63;51,4390;5,4650;8,04;10,87;16,05;31;51,4528;5,4851;9,57;12,23;17,69;40
2021-01-15 00:00:00;2021-01-15 01:00:00;51,4379;5,3582;20,88;23,20;27,13;25;;;;;;;51,4915;5,4392;14,71;16,34;20,47;32;51,4567;5,4382;14,97;16,40;20,34;31;;;;;;;51,4422;5,4844;16,63;17,98;21,53;31;51,4454;5,4854;18,72;20,40;23,92;19;51,4414;5,4714;15,09;16,65;20,39;22;;;;;;;51,4136;5,4707;17,33;19,15;22,77;20;51,4332;5,5198;13,46;15,00;19,06;28;51,4372;5,4233;14,28;15,83;20,05;40;;;;;;;51,4444;5,4788;18,50;20,41;24,59;28;51,4545;5,3888;16,70;18,33;22,06;34;;;;;;;51,4354;5,4799;15,38;16,98;20,92;30;51,4374;5,4517;17,16;18,94;23,59;29;51,4797;5,4751;15,36;16,71;20,04;19;51,4387;5,4821;19,54;21,64;25,80;24;51,4684;5,4723;21,25;23,22;27,11;51,4390;5,4650;17,69;19,53;23,34;25;51,4528;5,4850;22,65;24,59;28,76;24
2021-01-16 00:00:00;2021-01-16 01:00:00;51,4379;5,3582;27,06;29,60;31,53;28;;;;;;;51,4915;5,4392;19,11;20,70;23,86;32;51,4568;5,4383;19,44;20,95;23,82;29;;;;;;;51,4422;5,4844;22,31;23,41;25,36;28;51,4454;5,4854;24,32;26,02;28,21;22;51,4415;5,4714;20,26;21,75;24,17;26;;;;;;;51,4136;5,4707;22,88;24,89;26,76;16;51,4332;5,5198;17,88;19,64;23,16;23;51,4372;5,4233;18,29;19,97;23,66;37;;;;;;;51,4444;5,4788;24,35;26,26;28,88;23;51,4546;5,3887;23,24;24,92;27,17;31;;;;;;;51,4354;5,4799;21,96;23,26;26,02;25;51,4374;5,4516;20,43;22,25;26,17;31;51,4797;5,4751;21,49;22,67;24,73;22;51,4385;5,4816;25,59;27,59;30,01;22;51,4684;5,4723;27,73;29,80;31,87;51,4390;5,4650;23,74;25,33;27,77;27;51,4528;5,4850;28,63;30,53;32,88;37
2021-01-17 00:00:00;2021-01-17 01:00:00;51,4379;5,3581;16,77;22,21;29,52;17;;;;;;;51,4915;5,4392;13,14;17,74;26,38;20;51,4569;5,4383;12,51;15,87;22,90;17;;;;;;;51,4423;5,4845;16,36;20,94;26,85;14;51,4454;5,4854;16,83;21,44;27,09;17;51,4415;5,4714;14,67;19,10;24,79;17;;;;;;;51,4136;5,4707;14,49;18,93;24,78;12;51,4332;5,5198;13,00;17,44;27,10;17;51,4372;5,4233;12,38;16,70;26,56;22;;;;;;;51,4444;5,4788;16,59;21,45;27,89;16;51,4546;5,3887;16,45;21,31;26,92;15;;;;;;;51,4354;5,4799;16,52;20,82;26,23;19;51,4374;5,4517;13,35;16,94;26,21;22;51,4797;5,4751;16,89;20,76;25,28;14;51,4388;5,4817;19,35;24,63;30,49;17;51,4684;5,4723;19,40;24,60;30,81;51,4390;5,4650;18,26;23,43;29,17;19;51,4528;5,4850;19,89;24,75;30,65;34
2021-01-18 00:00:00;2021-01-18 01:00:00;51,4379;5,3581;12,69;17,39;26,34;18;;;;;;;51,4915;5,4392;9,34;13,98;24,47;25;51,4568;5,4382;9,22;12,38;21,93;23;;;;;;;51,4423;5,4845;10,85;15,07;21,76;19;51,4454;5,4854;12,08;16,17;23,28;18;51,4415;5,4714;9,73;13,93;20,52;20;;;;;;;51,4136;5,4707;10,02;13,87;20,36;14;51,4332;5,5197;9,79;14,02;25,69;31;51,4372;5,4233;10,04;14,33;26,19;24;;;;;;;51,4445;5,4787;11,34;15,56;23,43;18;51,4546;5,3887;11,13;15,77;22,74;26;;;;;;;51,4354;5,4799;10,30;14,60;21,81;17;51,4375;5,4517;10,30;13,21;24,05;27;51,4797;5,4751;10,54;14,75;21,23;13;51,4388;5,4817;13,26;17,98;26,13;24;51,4684;5,4723;13,52;18,19;26,04;51,4390;5,4650;12,17;17,19;24,22;25;51,4528;5,4850;14,09;18,58;26,09;40
