;;"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I14";"I14";"I14";"I14";"I14";"I14";"I17";"I17";"I17";"I17";"I17";"I17";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40"
2021-01-19 00:00:00;2021-01-19 01:00:00;51,4379;5,3582;5,24;7,00;11,35;6;;;;;;;51,4915;5,4392;4,42;6,12;11,49;10;51,4568;5,4382;4,52;5,81;10,66;12;;;;;;;51,4423;5,4845;4,81;6,40;10,01;5;51,4454;5,4854;5,82;7,34;11,14;8;51,4415;5,4714;4,44;6,03;9,86;7;;;;;;;51,4136;5,4707;4,74;6,20;10,06;8;51,4331;5,5197;5,94;7,68;13,48;19;51,4372;5,4233;5,84;7,54;12,50;9;;;;;;;51,4445;5,4787;5,57;7,14;11,38;9;51,4546;5,3887;5,23;6,93;10,54;12;;;;;;;51,4355;5,4799;4,41;6,06;10,08;4;51,4375;5,4517;5,07;6,22;11,13;13;51,4797;5,4751;4,34;5,84;9,45;5;51,4385;5,4815;6,65;8,51;12,67;15;51,4685;5,4723;6,17;7,89;11,95;51,4390;5,4650;5,65;7,57;11,66;9;51,4528;5,4850;6,93;8,60;12,73;20
2021-01-20 00:00:00;2021-01-20 01:00:00;51,4379;5,3581;4,19;5,33;8,85;7;;;;;;;51,4915;5,4392;3,59;4,71;8,91;12;51,4568;5,4383;3,83;4,72;8,56;14;;;;;;;51,4423;5,4845;3,64;4,52;7,62;7;51,4454;5,4854;4,49;5,46;8,46;12;51,4415;5,4714;3,61;4,58;7,77;7;51,4681;5,3902;2,49;3,55;7,01;2;51,4137;5,4707;3,72;4,66;7,56;11;51,4332;5,5197;5,23;6,34;10,63;23;51,4372;5,4233;4,58;5,60;9,58;12;;;;;;;51,4446;5,4787;4,78;5,88;8,97;16;51,4546;5,3887;4,50;5,60;8,80;12;;;;;;;51,4355;5,4799;3,22;4,17;7,37;7;51,4375;5,4517;4,44;5,23;8,76;20;51,4797;5,4751;3,38;4,37;7,32;10;51,4386;5,4819;5,26;6,40;9,68;26;51,4684;5,4723;4,98;6,07;9,26;51,4390;5,4650;4,61;5,77;9,05;12;51,4528;5,4851;5,67;6,75;9,88;20
2021-01-21 00:00:00;2021-01-21 01:00:00;51,4379;5,3582;2,62;4,49;9,51;14;;;;;;;51,4915;5,4392;2,86;4,69;10,73;17;51,4569;5,4385;2,82;4,28;9,64;16;;;;;;;51,4423;5,4845;3,10;4,76;8,96;16;51,4454;5,4854;3,50;5,24;9,36;39;51,4415;5,4714;2,86;4,54;8,65;15;51,4681;5,3901;2,79;4,55;9,27;17;51,4137;5,4708;2,56;4,21;8,37;22;51,4332;5,5197;4,80;6,69;12,65;24;51,4372;5,4233;4,31;6,19;11,55;26;;;;;;;51,4447;5,4787;3,57;5,38;9,90;28;51,4545;5,3888;3,84;5,72;9,80;29;;;;;;;51,4354;5,4797;3,03;4,76;9,22;16;51,4375;5,4517;2,89;4,09;9,88;31;51,4797;5,4751;3,21;4,90;8,88;26;51,4385;5,4821;4,60;6,58;11,19;48;51,4686;5,4722;3,83;5,77;10,27;51,4390;5,4650;4,22;6,30;10,88;20;51,4527;5,4852;4,20;6,00;10,39;41
2021-01-22 00:00:00;2021-01-22 01:00:00;51,4379;5,3582;7,66;9,98;15,50;34;;;;;;;51,4915;5,4392;6,71;9,03;14,88;42;51,4566;5,4383;6,06;7,50;12,40;35;;;;;;;51,4423;5,4845;6,83;9,03;13,36;35;51,4454;5,4854;8,12;10,24;14,69;38;51,4415;5,4714;6,42;8,66;13,05;38;51,4681;5,3901;5,89;7,80;12,78;25;51,4137;5,4708;6,44;8,37;12,52;27;51,4332;5,5197;6,84;9,00;15,84;40;51,4372;5,4233;7,16;9,54;16,24;47;;;;;;;51,4446;5,4787;7,48;9,71;14,64;37;51,4545;5,3888;6,69;9,06;13,68;42;;;;;;;51,4351;5,4796;6,39;8,58;13,43;34;51,4375;5,4518;7,18;8,72;14,97;51;51,4797;5,4751;6,56;8,63;12,85;28;51,4386;5,4815;8,69;11,10;15,97;40;51,4687;5,4721;9,14;11,53;16,40;51,4390;5,4650;8,21;10,88;16,01;44;51,4527;5,4852;9,67;11,98;16,85;57
2021-01-23 00:00:00;2021-01-23 01:00:00;51,4379;5,3581;11,28;13,39;17,70;28;;;;;;;51,4915;5,4392;8,66;10,79;16,09;31;51,4567;5,4382;8,85;10,38;15,19;25;;;;;;;51,4423;5,4845;9,18;11,10;14,99;24;51,4454;5,4854;11,26;13,25;17,33;21;51,4415;5,4714;8,81;10,85;14,79;26;51,4681;5,3901;8,83;10,69;14,76;24;51,4137;5,4708;9,82;11,71;15,62;18;51,4332;5,5197;8,48;10,32;15,98;22;51,4372;5,4233;8,76;10,72;16,28;35;;;;;;;51,4444;5,4788;10,72;12,90;17,21;27;51,4545;5,3887;9,47;11,67;15,68;30;;;;;;;51,4350;5,4798;8,50;10,60;14,73;25;51,4375;5,4517;10,53;12,16;17,42;37;51,4797;5,4751;9,02;10,95;14,80;19;51,4387;5,4818;11,30;13,57;17,98;24;51,4687;5,4721;12,60;14,84;19,16;51,4390;5,4650;10,52;12,88;17,08;33;51,4527;5,4852;13,47;15,59;20,00;39
2021-01-24 00:00:00;2021-01-24 01:00:00;51,4379;5,3581;11,50;13,31;17,41;23;;;;;;;51,4915;5,4392;7,76;9,43;14,19;20;51,4568;5,4384;8,47;9,72;13,82;19;;;;;;;51,4423;5,4845;9,31;10,71;14,46;19;51,4454;5,4854;10,79;12,33;16,12;13;51,4415;5,4714;7,96;9,41;12,95;23;51,4681;5,3901;8,11;9,51;13,42;20;51,4135;5,4707;9,08;10,46;14,09;11;51,4332;5,5197;7,27;8,56;13,10;21;51,4372;5,4233;7,90;9,38;13,97;28;;;;;;;51,4444;5,4788;10,69;12,45;16,37;19;51,4546;5,3887;8,68;10,26;13,99;20;;;;;;;51,4350;5,4798;7,75;9,18;12,74;21;51,4374;5,4514;9,42;10,58;14,90;25;51,4797;5,4751;7,78;9,14;12,84;11;51,4386;5,4817;10,83;12,49;16,42;16;51,4687;5,4721;11,13;12,78;16,77;51,4390;5,4650;9,73;11,41;15,13;27;51,4527;5,4852;12,66;14,21;18,01;26
2021-01-25 00:00:00;2021-01-25 01:00:00;51,4379;5,3582;17,86;20,20;25,14;27;;;;;;;51,4915;5,4392;11,34;13,27;18,83;36;51,4568;5,4384;13,25;14,85;19,88;30;51,4465;5,4482;10,66;13,27;18,31;5;51,4422;5,4844;14,50;16,29;20,50;25;51,4454;5,4854;16,20;18,12;22,35;16;51,4415;5,4713;13,06;14,93;19,14;28;51,4681;5,3901;13,80;15,74;20,42;17;51,4136;5,4707;15,33;17,31;21,21;13;51,4332;5,5197;12,21;13,98;19,55;28;51,4372;5,4233;12,71;14,77;20,47;30;51,4584;5,4050;14,10;16,78;22,85;37;51,4445;5,4787;15,70;17,77;22,27;22;51,4546;5,3887;14,33;16,42;20,72;28;;;;;;;51,4353;5,4799;13,59;15,51;19,80;24;51,4374;5,4515;14,55;16,24;21,56;31;51,4797;5,4751;12,33;14,07;17,95;15;51,4386;5,4817;17,75;19,96;24,72;22;51,4687;5,4721;17,63;19,75;24,09;51,4390;5,4650;15,69;17,91;22,11;32;51,4528;5,4851;19,31;21,53;26,14;29
2021-01-26 00:00:00;2021-01-26 01:00:00;51,4379;5,3582;7,83;11,33;19,19;18;;;;;;;51,4915;5,4392;6,29;9,74;18,89;31;51,4568;5,4384;6,20;8,69;17,76;22;51,4464;5,4483;7,38;10,44;16,39;33;51,4422;5,4844;7,43;10,78;17,28;19;51,4454;5,4854;8,08;11,13;17,37;20;51,4414;5,4713;6,57;9,73;15,85;21;51,4681;5,3901;6,28;9,26;16,32;12;51,4136;5,4707;6,65;9,53;15,89;14;51,4331;5,5197;6,67;9,69;19,69;28;51,4372;5,4233;6,74;9,83;19,61;23;51,4584;5,4050;8,19;11,77;20,17;34;51,4445;5,4787;7,66;10,86;17,85;21;51,4546;5,3887;7,52;11,12;17,50;20;;;;;;;51,4352;5,4800;6,91;10,12;16,86;20;51,4374;5,4515;6,65;8,82;18,40;31;51,4797;5,4751;6,95;10,11;15,73;17;51,4386;5,4817;9,15;12,60;19,70;25;51,4686;5,4721;8,76;12,18;19,11;51,4390;5,4650;8,32;12,19;18,36;25;51,4528;5,4850;10,12;13,42;20,40;32
2021-01-27 00:00:00;2021-01-27 01:00:00;51,4379;5,3581;16,16;21,02;25,24;22;;;;;;;51,4915;5,4392;12,27;15,97;20,57;33;51,4568;5,4382;12,29;15,20;19,10;30;51,4465;5,4485;14,79;18,14;21,96;32;51,4422;5,4844;14,67;17,56;21,77;22;51,4454;5,4854;14,62;18,05;21,79;17;51,4414;5,4713;13,34;16,33;20,29;26;51,4681;5,3901;14,52;18,17;22,01;14;51,4136;5,4707;13,08;16,57;20,23;14;51,4332;5,5198;12,98;16,40;21,28;21;51,4372;5,4233;12,40;15,95;20,71;27;51,4584;5,4050;16,87;21,47;25,47;27;51,4445;5,4787;14,69;18,57;22,49;19;51,4546;5,3887;16,39;19,84;23,75;34;;;;;;;51,4352;5,4800;15,30;18,36;22,73;16;51,4377;5,4517;12,05;15,29;20,20;30;51,4797;5,4751;15,70;18,12;21,74;15;51,4389;5,4818;17,97;22,22;26,66;24;51,4686;5,4721;17,72;22,14;26,27;51,4390;5,4650;17,12;20,58;24,54;27;51,4528;5,4850;18,33;22,42;26,94;26
2021-01-28 00:00:00;2021-01-28 01:00:00;51,4379;5,3582;10,89;14,09;17,41;15;;;;;;;51,4915;5,4392;9,04;11,63;14,69;25;51,4569;5,4383;8,08;10,09;12,97;28;51,4465;5,4483;11,26;13,90;16,63;16;51,4422;5,4844;10,05;12,14;14,58;13;51,4454;5,4854;10,79;13,55;16,33;4;51,4414;5,4713;9,42;11,96;14,68;13;51,4681;5,3901;9,23;11,41;13,83;5;51,4136;5,4707;8,58;11,47;14,57;6;51,4332;5,5198;8,97;11,75;15,75;12;51,4372;5,4233;9,33;11,85;16,02;16;51,4584;5,4050;12,03;15,24;18,23;9;51,4445;5,4787;10,40;13,72;17,25;9;51,4546;5,3888;11,32;13,57;15,71;23;;;;;;;51,4354;5,4800;10,33;12,63;15,16;9;51,4375;5,4517;10,11;12,95;17,67;14;51,4797;5,4751;11,23;13,06;15,15;7;51,4386;5,4817;13,05;16,42;19,43;8;51,4686;5,4721;12,54;16,02;18,91;51,4390;5,4650;12,76;15,58;18,19;11;51,4528;5,4850;13,95;17,01;19,57;9
2021-01-29 00:00:00;2021-01-29 01:00:00;51,4379;5,3581;7,68;12,49;21,01;15;;;;;;;51,4915;5,4392;6,04;10,59;20,62;15;51,4567;5,4382;5,55;9,05;18,76;12;51,4465;5,4483;7,01;11,16;17,52;19;51,4422;5,4844;7,41;11,77;18,32;10;51,4454;5,4854;7,21;11,48;17,94;12;51,4414;5,4713;6,74;10,94;17,47;11;51,4681;5,3901;6,40;10,69;18,31;5;51,4136;5,4708;6,26;10,31;17,44;9;51,4332;5,5198;6,61;10,70;20,78;17;51,4372;5,4233;6,90;11,15;21,68;14;51,4584;5,4050;8,29;13,31;22,39;20;51,4445;5,4787;7,09;11,41;18,65;14;51,4546;5,3887;8,45;13,41;20,01;9;;;;;;;51,4354;5,4800;7,47;11,74;18,32;13;51,4375;5,4517;6,21;9,22;19,85;19;51,4797;5,4751;7,73;11,90;17,55;9;51,4386;5,4820;9,41;14,26;21,55;15;51,4686;5,4721;8,73;13,42;20,74;51,4390;5,4650;9,23;14,37;20,64;15;51,4528;5,4850;8,76;13,22;19,95;24
2021-01-30 00:00:00;2021-01-30 01:00:00;51,4379;5,3582;11,89;12,94;15,38;18;;;;;;;51,4915;5,4392;7,51;8,28;11,16;17;51,4568;5,4382;8,29;8,98;11,99;15;51,4464;5,4485;8,77;9,53;11,86;20;51,4422;5,4844;8,10;8,84;11,22;19;51,4454;5,4854;10,27;11,04;13,29;17;51,4414;5,4713;6,90;7,65;10,10;16;51,4681;5,3901;8,16;8,94;11,37;16;51,4136;5,4708;8,74;9,51;11,91;15;51,4332;5,5197;6,43;7,12;10,10;27;51,4372;5,4233;7,44;8,19;11,39;20;51,4584;5,4050;10,67;11,67;14,16;27;51,4445;5,4787;9,41;10,20;12,71;21;51,4546;5,3888;8,16;8,98;11,46;19;;;;;;;51,4354;5,4800;6,33;7,12;9,83;18;51,4374;5,4515;9,77;10,55;13,94;27;51,4797;5,4751;6,84;7,56;10,03;14;51,4387;5,4817;9,24;10,14;12,69;27;51,4686;5,4721;10,51;11,47;13,87;51,4390;5,4650;7,95;8,86;11,51;24;51,4528;5,4850;12,09;12,95;15,19;28
2021-01-31 00:00:00;2021-01-31 01:00:00;51,4379;5,3582;21,91;23,55;24,75;26;;;;;;;51,4915;5,4392;15,14;16,13;18,32;24;51,4567;5,4383;15,61;16,61;18,42;23;51,4464;5,4482;17,51;18,45;19,54;25;51,4422;5,4844;16,53;17,28;18,64;24;51,4454;5,4854;18,58;19,64;20,87;24;51,4415;5,4714;14,88;15,71;17,36;23;51,4681;5,3901;16,75;17,82;19,29;21;51,4136;5,4707;16,78;17,95;19,20;19;51,4332;5,5197;12,12;12,97;15,15;25;51,4372;5,4233;14,00;15,00;17,53;29;51,4584;5,4050;20,33;21,79;23,14;31;51,4445;5,4787;17,96;19,06;20,54;25;51,4546;5,3887;17,04;17,99;19,41;29;;;;;;;51,4354;5,4800;14,81;15,64;17,51;25;51,4373;5,4513;16,40;17,59;20,32;33;51,4797;5,4751;15,74;16,42;17,86;21;51,4388;5,4818;18,58;19,81;21,18;34;51,4686;5,4721;21,54;22,89;24,08;51,4390;5,4650;16,59;17,50;19,04;31;51,4528;5,4850;22,35;23,48;24,33;36
2021-02-01 00:00:00;2021-02-01 01:00:00;51,4379;5,3581;30,97;36,47;40,64;33;;;;;;;51,4915;5,4392;21,70;24,89;29,25;33;51,4568;5,4383;22,89;25,96;30,01;33;51,4465;5,4482;27,59;30,79;34,31;21;51,4422;5,4844;26,64;29,37;33,02;28;51,4454;5,4854;26,96;30,42;33,94;21;51,4415;5,4714;24,30;27,27;30,79;25;51,4681;5,3901;26,62;30,10;33,82;22;51,4136;5,4708;24,77;28,85;32,16;19;51,4333;5,5198;21,12;24,29;28,80;17;51,4372;5,4233;21,69;24,93;29,53;37;51,4584;5,4050;30,56;35,20;39,55;23;51,4445;5,4787;27,35;31,21;34,95;25;51,4546;5,3887;29,36;32,80;36,70;35;;;;;;;51,4354;5,4801;26,61;29,51;33,36;27;51,4375;5,4517;22,12;25,79;30,42;29;51,4797;5,4751;28,17;30,65;33,98;22;51,4386;5,4818;31,35;35,62;39,57;25;51,4686;5,4721;32,17;36,34;40,20;51,4390;5,4650;29,86;33,31;36,94;29;51,4528;5,4851;33,05;36,92;40,34;29
2021-02-02 00:00:00;2021-02-02 01:00:00;51,4379;5,3582;19,94;24,73;29,77;15;;;;;;;51,4915;5,4392;14,88;18,63;24,18;24;51,4566;5,4381;14,98;17,85;23,10;23;51,4465;5,4483;18,40;21,96;25,86;21;51,4421;5,4844;18,10;21,43;25,12;18;51,4454;5,4854;18,40;22,24;26,30;15;51,4415;5,4714;16,94;20,49;24,45;19;51,4681;5,3901;17,52;21,24;25,99;13;51,4136;5,4708;16,10;19,84;24,03;9;51,4332;5,5197;14,85;18,53;26,07;17;51,4372;5,4233;15,65;19,59;26,97;25;51,4584;5,4050;20,65;25,47;31,89;29;51,4447;5,4787;18,48;22,64;27,40;20;51,4546;5,3888;19,49;23,31;27,42;24;;;;;;;51,4354;5,4800;18,62;22,01;26,11;14;51,4375;5,4517;15,12;18,53;25,62;25;51,4797;5,4751;20,13;23,16;26,24;13;51,4387;5,4817;22,00;26,55;31,45;19;51,4686;5,4721;21,71;26,15;30,57;51,4390;5,4650;20,63;24,66;28,54;23;51,4528;5,4851;22,59;26,90;31,74;26
2021-02-03 00:00:00;2021-02-03 01:00:00;51,4379;5,3581;8,60;12,18;18,05;15;;;;;;;51,4915;5,4392;6,73;10,16;17,57;27;51,4566;5,4383;6,06;8,50;15,17;19;51,4464;5,4483;8,17;11,31;16,15;31;51,4421;5,4845;7,84;10,79;15,34;17;51,4454;5,4854;8,11;11,25;16,10;17;51,4416;5,4714;7,52;10,44;15,11;20;51,4681;5,3901;7,26;10,50;16,39;11;51,4136;5,4707;7,01;9,96;14,80;13;51,4332;5,5197;7,60;10,84;19,54;24;51,4372;5,4233;7,31;10,46;18,20;23;51,4584;5,4050;9,32;13,32;20,01;36;51,4446;5,4788;8,61;11,98;17,22;25;51,4546;5,3887;8,74;12,47;17,07;12;;;;;;;51,4355;5,4800;7,79;10,75;15,54;20;51,4375;5,4517;7,63;10,01;17,42;42;51,4797;5,4751;7,86;10,96;15,19;16;51,4388;5,4820;10,23;13,85;19,09;23;51,4686;5,4721;9,78;13,33;18,16;51,4390;5,4650;9,47;13,18;17,89;28;51,4528;5,4851;10,33;13,85;19,16;40
2021-02-04 00:00:00;2021-02-04 01:00:00;51,4379;5,3582;9,34;14,35;26,75;23;;;;;;;51,4915;5,4392;7,80;13,25;27,77;26;51,4568;5,4381;6,94;10,39;23,09;21;51,4464;5,4484;8,61;13,28;22,11;25;51,4421;5,4844;8,59;13,76;22,54;22;51,4454;5,4854;9,20;13,90;23,20;19;51,4416;5,4714;8,06;13,03;21,52;22;51,4681;5,3901;8,01;12,65;24,05;18;51,4136;5,4708;7,05;11,24;20,74;14;51,4331;5,5198;7,58;12,03;27,23;30;51,4372;5,4233;7,99;12,70;27,88;29;51,4584;5,4050;10,17;15,43;28,27;38;51,4443;5,4788;8,95;13,75;24,09;26;51,4546;5,3887;9,67;15,32;24,71;24;;;;;;;51,4353;5,4799;8,78;13,77;23,20;22;51,4375;5,4517;8,29;11,54;25,21;39;51,4797;5,4751;9,08;13,95;22,50;18;51,4387;5,4819;10,99;16,18;26,56;25;51,4685;5,4723;10,62;15,69;26,57;51,4390;5,4650;10,30;16,12;25,37;32;51,4528;5,4851;11,14;16,25;26,71;43
2021-02-05 00:00:00;2021-02-05 01:00:00;51,4379;5,3582;11,01;14,21;21,49;30;;;;;;;51,4915;5,4392;8,26;11,61;20,58;37;51,4568;5,4384;7,30;9,57;17,36;25;51,4465;5,4483;10,24;13,45;19,57;39;51,4423;5,4843;9,40;12,50;18,35;28;51,4454;5,4854;10,44;13,58;19,88;28;51,4414;5,4714;8,77;12,01;18,17;30;51,4681;5,3901;8,26;11,05;17,52;23;51,4136;5,4709;9,04;11,85;18,14;19;51,4332;5,5198;8,71;11,69;21,42;29;51,4372;5,4233;9,33;12,51;22,43;42;51,4584;5,4050;11,02;14,62;22,28;33;51,4446;5,4788;10,65;13,96;20,86;34;51,4546;5,3887;9,87;13,34;20,16;34;51,4491;5,4569;11,46;14,96;21,73;74;51,4354;5,4799;9,00;12,43;19,33;31;51,4375;5,4517;10,79;13,06;21,93;47;51,4797;5,4751;8,76;11,77;17,42;27;51,4384;5,4817;12,37;15,91;23,12;34;51,4684;5,4724;11,73;15,10;21,85;51,4390;5,4650;11,03;14,97;21,84;40;51,4527;5,4851;12,98;16,34;23,07;50
2021-02-06 00:00:00;2021-02-06 01:00:00;51,4379;5,3582;28,53;34,56;37,62;23;;;;;;;51,4915;5,4392;20,17;23,51;26,92;23;51,4568;5,4384;21,35;25,11;28,80;21;51,4464;5,4484;25,84;29,64;32,06;19;51,4423;5,4843;25,25;28,27;30,36;21;51,4454;5,4854;26,29;30,72;33,00;14;51,4414;5,4714;23,77;27,39;30,02;22;51,4681;5,3901;24,11;27,88;30,07;14;51,4136;5,4708;23,43;28,22;30,95;12;51,4333;5,5197;20,56;24,47;28,01;14;51,4372;5,4233;21,17;25,14;29,31;26;51,4583;5,4050;28,42;33,98;36,67;13;51,4444;5,4788;26,19;30,69;33,28;22;51,4546;5,3887;27,00;30,73;32,71;23;51,4492;5,4570;23,87;25,98;26,39;41;51,4355;5,4799;26,17;29,65;32,02;22;51,4375;5,4517;20,88;25,02;29,66;25;51,4797;5,4751;27,14;29,90;31,54;16;51,4387;5,4820;30,59;35,76;38,68;20;51,4684;5,4724;29,82;34,82;37,51;51,4390;5,4650;28,53;32,34;34,64;28;51,4527;5,4852;31,44;36,34;38,65;24
2021-02-07 00:00:00;2021-02-07 01:00:00;51,4379;5,3581;18,99;21,89;24,82;11;;;;;;;51,4915;5,4392;14,39;16,30;19,52;11;51,4567;5,4383;13,31;15,22;18,52;11;51,4465;5,4482;15,83;17,69;20,28;20;51,4423;5,4844;16,43;17,78;19,89;11;51,4454;5,4854;15,95;18,13;20,65;8;51,4414;5,4714;13,85;15,67;18,19;10;51,4681;5,3901;14,57;16,61;19,26;7;51,4136;5,4708;15,31;17,56;19,98;11;51,4332;5,5198;10,77;12,50;15,61;24;51,4372;5,4233;12,58;14,45;17,74;15;51,4583;5,4050;17,58;20,43;23,23;21;51,4445;5,4788;15,64;17,71;20,00;13;51,4546;5,3887;15,80;17,79;20,22;17;51,4492;5,4569;17,23;19,24;21,62;51;51,4354;5,4799;15,61;17,38;20,16;14;51,4375;5,4518;13,29;15,18;18,77;14;51,4797;5,4751;13,93;15,46;17,99;12;51,4387;5,4820;17,30;19,89;22,71;18;51,4685;5,4724;19,37;22,07;25,14;51,4390;5,4650;16,54;18,52;21,21;17;51,4527;5,4852;19,90;22,05;24,37;18
2021-02-08 00:00:00;2021-02-08 01:00:00;51,4379;5,3581;20,25;24,03;28,21;18;;;;;;;51,4915;5,4392;14,19;16,42;20,26;18;51,4568;5,4382;13,67;16,06;20,07;11;51,4465;5,4482;18,01;20,44;23,53;24;51,4423;5,4844;18,65;20,44;23,22;15;51,4454;5,4854;16,85;19,47;22,86;15;51,4415;5,4714;15,76;18,02;21,11;14;51,4681;5,3901;16,20;18,71;22,02;11;51,4137;5,4708;16,94;19,82;23,14;16;51,4332;5,5197;12,45;14,69;18,52;38;51,4372;5,4233;14,25;16,70;20,90;21;51,4584;5,4050;19,12;22,44;26,17;28;51,4444;5,4788;17,48;20,20;23,42;21;51,4546;5,3887;17,84;20,39;23,65;21;51,4492;5,4569;19,60;22,25;25,36;49;51,4355;5,4799;18,57;20,85;24,36;18;51,4375;5,4517;14,89;17,36;21,90;21;51,4797;5,4751;15,75;17,64;20,83;15;51,4386;5,4818;19,47;22,68;26,38;27;51,4685;5,4724;20,59;23,72;27,24;51,4390;5,4650;18,35;20,79;23,85;25;51,4527;5,4851;21,57;24,48;27,83;28
2021-02-09 00:00:00;2021-02-09 01:00:00;51,4379;5,3582;19,69;23,03;26,67;30;;;;;;;51,4915;5,4392;14,38;16,33;19,92;33;51,4568;5,4384;13,72;15,96;19,77;21;51,4465;5,4480;19,42;21,89;24,89;29;51,4423;5,4844;18,60;20,19;22,43;25;51,4454;5,4854;16,68;18,96;22,00;22;51,4414;5,4714;15,47;17,44;20,38;24;51,4681;5,3901;16,26;18,58;21,78;21;51,4137;5,4708;16,81;19,38;22,23;23;51,4332;5,5197;12,39;14,34;18,02;44;51,4372;5,4233;14,17;16,42;20,46;34;51,4584;5,4050;19,05;22,00;25,49;30;51,4444;5,4788;17,61;20,13;23,19;26;51,4546;5,3887;17,61;19,85;22,83;33;51,4492;5,4570;19,40;21,72;24,59;37;51,4355;5,4799;18,17;20,18;23,47;26;51,4374;5,4516;15,48;17,77;22,24;32;51,4797;5,4751;15,62;17,30;20,15;21;51,4387;5,4819;19,07;21,90;25,31;35;51,4685;5,4724;21,26;24,17;27,40;51,4390;5,4650;17,89;20,05;22,89;35;51,4527;5,4852;21,54;23,96;27,13;35
2021-02-10 00:00:00;2021-02-10 01:00:00;51,4379;5,3581;18,48;21,21;24,64;32;;;;;;;51,4915;5,4392;12,61;14,34;17,91;38;51,4568;5,4384;12,37;14,19;17,95;21;51,4465;5,4482;18,05;20,16;22,72;31;51,4421;5,4844;17,03;18,52;20,84;27;51,4454;5,4854;15,39;17,40;20,33;28;51,4414;5,4713;14,13;15,94;19,20;28;51,4681;5,3901;14,29;16,19;19,16;22;51,4137;5,4707;15,58;17,83;20,41;25;51,4331;5,5198;12,27;14,12;17,86;42;51,4372;5,4233;12,70;14,52;18,26;36;51,4584;5,4050;17,47;20,09;23,39;41;51,4444;5,4788;16,29;18,52;21,59;31;51,4546;5,3887;15,37;17,31;20,39;40;51,4492;5,4569;17,01;18,99;21,67;37;51,4355;5,4799;16,13;18,00;21,12;31;51,4375;5,4517;14,66;16,66;21,02;37;51,4797;5,4751;13,71;15,23;18,03;25;51,4388;5,4822;17,38;19,82;23,04;40;51,4685;5,4724;19,76;22,30;25,27;51,4390;5,4650;15,91;17,82;20,98;40;51,4527;5,4851;20,15;22,44;25,27;43
2021-02-11 00:00:00;2021-02-11 01:00:00;51,4379;5,3582;13,91;15,76;19,16;30;;;;;;;51,4915;5,4392;8,65;9,86;13,51;42;51,4568;5,4384;8,41;9,55;13,00;33;51,4465;5,4482;10,27;11,60;14,79;36;51,4421;5,4844;10,52;11,66;14,67;33;51,4454;5,4854;10,24;11,65;15,04;36;51,4414;5,4713;8,26;9,52;12,60;37;51,4681;5,3901;10,00;11,29;14,38;25;51,4137;5,4707;10,45;11,73;14,80;24;51,4333;5,5198;7,60;8,85;12,78;34;51,4372;5,4233;8,28;9,55;13,48;45;51,4584;5,4050;12,06;13,89;17,47;41;51,4444;5,4788;10,31;11,76;15,04;33;51,4546;5,3887;10,89;12,51;15,97;38;51,4492;5,4569;10,67;12,07;15,29;39;51,4354;5,4799;8,80;10,11;13,39;36;51,4375;5,4518;10,53;11,76;15,51;51;51,4797;5,4751;8,36;9,59;12,53;28;51,4386;5,4820;11,03;12,73;16,29;43;51,4685;5,4724;13,10;14,75;18,20;51,4390;5,4650;9,55;10,98;14,11;43;51,4528;5,4851;13,47;14,93;18,48;61
2021-02-12 00:00:00;2021-02-12 01:00:00;51,4379;5,3581;17,81;20,35;24,48;47;;;;;;;51,4915;5,4392;13,01;14,68;18,78;43;51,4569;5,4384;12,37;14,04;18,09;30;51,4465;5,4482;14,93;16,76;20,64;37;51,4422;5,4844;16,54;18,09;21,66;33;51,4454;5,4854;14,81;16,75;21,00;42;51,4414;5,4713;13,28;15,05;18,85;36;51,4681;5,3901;14,89;16,75;20,64;32;51,4137;5,4707;14,89;16,84;20,76;23;51,4332;5,5198;11,25;13,00;17,25;33;51,4372;5,4233;12,30;14,08;18,37;36;51,4584;5,4050;17,67;20,19;24,47;45;51,4444;5,4788;15,81;17,78;21,99;31;51,4546;5,3887;15,22;17,10;21,02;53;51,4492;5,4569;16,74;18,67;22,49;32;51,4354;5,4800;15,29;17,19;21,25;30;51,4376;5,4519;14,38;16,12;20,91;47;51,4797;5,4751;12,70;14,23;17,75;25;51,4388;5,4819;16,51;18,75;22,93;40;51,4685;5,4724;18,94;21,19;25,38;51,4389;5,4650;14,80;16,83;20,60;39;51,4528;5,4851;19,56;21,70;26,15;76
