Sensor,Time_Local,Lat,Lon,PM1,PM2.5,PM10,NO2
I02,2021-01-01 01:00:00,51.4379,5.3582,27.78,33.11,37.81,24.0
I02,2021-01-02 01:00:00,51.4379,5.3582,31.84,45.09,51.59,19.0
I02,2021-01-03 01:00:00,51.4379,5.3582,23.72,34.22,38.46,13.0
I02,2021-01-04 01:00:00,51.4379,5.3582,5.35,5.97,7.94,9.0
I02,2021-01-05 01:00:00,51.4379,5.3581,21.11,23.4,24.02,10.0
I02,2021-01-06 01:00:00,51.4379,5.3582,17.2,19.0,22.28,19.0
I02,2021-01-07 01:00:00,51.4379,5.3582,5.82,6.87,10.19,16.0
I02,2021-01-08 01:00:00,51.4379,5.3582,3.68,4.16,6.64,11.0
I02,2021-01-09 01:00:00,51.4379,5.3582,20.46,22.61,25.42,19.0
I02,2021-01-10 01:00:00,51.4379,5.3581,30.88,35.01,39.48,37.0
I02,2021-01-11 01:00:00,51.4379,5.3582,24.48,28.19,31.85,23.0
I02,2021-01-12 01:00:00,51.4379,5.3582,3.23,5.22,10.35,17.0
I02,2021-01-13 01:00:00,51.4379,5.3582,9.52,13.57,22.7,34.0
I02,2021-01-14 01:00:00,51.4379,5.3581,7.43,9.94,15.4,27.0
I02,2021-01-15 01:00:00,51.4379,5.3582,20.88,23.2,27.13,25.0
I02,2021-01-16 01:00:00,51.4379,5.3582,27.06,29.6,31.53,28.0
I02,2021-01-17 01:00:00,51.4379,5.3581,16.77,22.21,29.52,17.0
I02,2021-01-18 01:00:00,51.4379,5.3581,12.69,17.39,26.34,18.0
I02,2021-01-19 01:00:00,51.4379,5.3582,5.24,7.0,11.35,6.0
I02,2021-01-20 01:00:00,51.4379,5.3581,4.19,5.33,8.85,7.0
I02,2021-01-21 01:00:00,51.4379,5.3582,2.62,4.49,9.51,14.0
I02,2021-01-22 01:00:00,51.4379,5.3582,7.66,9.98,15.5,34.0
I02,2021-01-23 01:00:00,51.4379,5.3581,11.28,13.39,17.7,28.0
I02,2021-01-24 01:00:00,51.4379,5.3581,11.5,13.31,17.41,23.0
I02,2021-01-25 01:00:00,51.4379,5.3582,17.86,20.2,25.14,27.0
I02,2021-01-26 01:00:00,51.4379,5.3582,7.83,11.33,19.19,18.0
I02,2021-01-27 01:00:00,51.4379,5.3581,16.16,21.02,25.24,22.0
I02,2021-01-28 01:00:00,51.4379,5.3582,10.89,14.09,17.41,15.0
I02,2021-01-29 01:00:00,51.4379,5.3581,7.68,12.49,21.01,15.0
I02,2021-01-30 01:00:00,51.4379,5.3582,11.89,12.94,15.38,18.0
I02,2021-01-31 01:00:00,51.4379,5.3582,21.91,23.55,24.75,26.0
I02,2021-02-01 01:00:00,51.4379,5.3581,30.97,36.47,40.64,33.0
I02,2021-02-02 01:00:00,51.4379,5.3582,19.94,24.73,29.77,15.0
I02,2021-02-03 01:00:00,51.4379,5.3581,8.6,12.18,18.05,15.0
I02,2021-02-04 01:00:00,51.4379,5.3582,9.34,14.35,26.75,23.0
I02,2021-02-05 01:00:00,51.4379,5.3582,11.01,14.21,21.49,30.0
I02,2021-02-06 01:00:00,51.4379,5.3582,28.53,34.56,37.62,23.0
I02,2021-02-07 01:00:00,51.4379,5.3581,18.99,21.89,24.82,11.0
I02,2021-02-08 01:00:00,51.4379,5.3581,20.25,24.03,28.21,18.0
I02,2021-02-09 01:00:00,51.4379,5.3582,19.69,23.03,26.67,30.0
I02,2021-02-10 01:00:00,51.4379,5.3581,18.48,21.21,24.64,32.0
I02,2021-02-11 01:00:00,51.4379,5.3582,13.91,15.76,19.16,30.0
I02,2021-02-12 01:00:00,51.4379,5.3581,17.81,20.35,24.48,47.0
I02,2021-02-13 01:00:00,51.4379,5.3582,14.53,16.7,20.91,58.0
I02,2021-02-14 01:00:00,51.4379,5.3581,6.83,8.07,11.92,43.0
I02,2021-02-15 01:00:00,51.4379,5.3581,10.49,12.84,17.3,23.0
I02,2021-02-16 01:00:00,51.4379,5.3582,8.96,10.9,15.13,12.0
I02,2021-02-17 01:00:00,51.4379,5.3582,7.69,12.61,22.57,14.0
I02,2021-02-18 01:00:00,51.4379,5.3582,5.1,7.6,13.74,21.0
I02,2021-02-19 01:00:00,51.4379,5.3582,7.45,9.87,15.69,18.0
I02,2021-02-20 01:00:00,51.4379,5.3582,8.45,12.2,26.73,14.0
I02,2021-02-21 01:00:00,51.4379,5.3581,6.94,9.25,16.67,25.0
I02,2021-02-22 01:00:00,51.4379,5.3582,8.2,11.87,24.34,33.0
I02,2021-02-23 01:00:00,51.4379,5.3582,10.24,16.84,39.41,21.0
I02,2021-02-24 01:00:00,51.4379,5.3582,11.72,20.01,47.88,20.0
I02,2021-02-25 01:00:00,51.4379,5.3582,16.54,25.76,54.36,26.0
I02,2021-02-26 01:00:00,51.4379,5.3582,8.55,12.78,21.67,27.0
I02,2021-02-27 01:00:00,51.4379,5.3581,21.67,26.04,32.51,20.0
I02,2021-02-28 01:00:00,51.4379,5.3581,21.06,24.22,29.11,18.0
I02,2021-03-01 01:00:00,51.4379,5.3582,32.03,38.74,42.57,22.0
I02,2021-03-02 01:00:00,51.4379,5.3582,26.76,32.23,37.61,52.0
I02,2021-03-03 01:00:00,51.4379,5.3582,31.99,44.88,54.53,68.0
I02,2021-03-04 01:00:00,51.4379,5.3582,23.92,37.5,43.97,28.0
I02,2021-03-05 01:00:00,51.4379,5.3582,7.65,9.53,14.13,30.0
I02,2021-03-06 01:00:00,51.4379,5.3582,7.45,9.69,14.89,35.0
I02,2021-03-07 01:00:00,51.4379,5.3582,15.77,17.71,21.63,37.0
I02,2021-03-08 01:00:00,51.4379,5.3582,35.42,42.78,49.11,55.0
I02,2021-03-09 01:00:00,51.4379,5.3582,17.47,21.93,26.7,42.0
I02,2021-03-10 01:00:00,51.4379,5.3582,28.0,32.21,37.72,36.0
I02,2021-03-11 01:00:00,51.4379,5.3582,9.91,13.25,19.45,39.0
I03,2021-03-10 01:00:00,51.5108,5.3606,21.44,23.79,29.01,2.0
I03,2021-03-11 01:00:00,51.5108,5.3606,8.61,11.81,20.92,8.0
I04,2021-01-07 01:00:00,51.4915,5.4392,3.26,4.61,9.01,6.0
I04,2021-01-08 01:00:00,51.4915,5.4392,4.8,5.38,8.08,23.0
I04,2021-01-09 01:00:00,51.4915,5.4392,13.28,14.96,19.16,25.0
I04,2021-01-10 01:00:00,51.4915,5.4392,20.48,23.01,28.18,41.0
I04,2021-01-11 01:00:00,51.4915,5.4392,17.23,19.67,23.72,29.0
I04,2021-01-12 01:00:00,51.4915,5.4392,3.15,5.11,10.48,30.0
I04,2021-01-13 01:00:00,51.4915,5.4392,7.07,11.2,21.49,43.0
I04,2021-01-14 01:00:00,51.4915,5.4392,6.36,8.74,15.26,35.0
I04,2021-01-15 01:00:00,51.4915,5.4392,14.71,16.34,20.47,32.0
I04,2021-01-16 01:00:00,51.4915,5.4392,19.11,20.7,23.86,32.0
I04,2021-01-17 01:00:00,51.4915,5.4392,13.14,17.74,26.38,20.0
I04,2021-01-18 01:00:00,51.4915,5.4392,9.34,13.98,24.47,25.0
I04,2021-01-19 01:00:00,51.4915,5.4392,4.42,6.12,11.49,10.0
I04,2021-01-20 01:00:00,51.4915,5.4392,3.59,4.71,8.91,12.0
I04,2021-01-21 01:00:00,51.4915,5.4392,2.86,4.69,10.73,17.0
I04,2021-01-22 01:00:00,51.4915,5.4392,6.71,9.03,14.88,42.0
I04,2021-01-23 01:00:00,51.4915,5.4392,8.66,10.79,16.09,31.0
I04,2021-01-24 01:00:00,51.4915,5.4392,7.76,9.43,14.19,20.0
I04,2021-01-25 01:00:00,51.4915,5.4392,11.34,13.27,18.83,36.0
I04,2021-01-26 01:00:00,51.4915,5.4392,6.29,9.74,18.89,31.0
I04,2021-01-27 01:00:00,51.4915,5.4392,12.27,15.97,20.57,33.0
I04,2021-01-28 01:00:00,51.4915,5.4392,9.04,11.63,14.69,25.0
I04,2021-01-29 01:00:00,51.4915,5.4392,6.04,10.59,20.62,15.0
I04,2021-01-30 01:00:00,51.4915,5.4392,7.51,8.28,11.16,17.0
I04,2021-01-31 01:00:00,51.4915,5.4392,15.14,16.13,18.32,24.0
I04,2021-02-01 01:00:00,51.4915,5.4392,21.7,24.89,29.25,33.0
I04,2021-02-02 01:00:00,51.4915,5.4392,14.88,18.63,24.18,24.0
I04,2021-02-03 01:00:00,51.4915,5.4392,6.73,10.16,17.57,27.0
I04,2021-02-04 01:00:00,51.4915,5.4392,7.8,13.25,27.77,26.0
I04,2021-02-05 01:00:00,51.4915,5.4392,8.26,11.61,20.58,37.0
I04,2021-02-06 01:00:00,51.4915,5.4392,20.17,23.51,26.92,23.0
I04,2021-02-07 01:00:00,51.4915,5.4392,14.39,16.3,19.52,11.0
I04,2021-02-08 01:00:00,51.4915,5.4392,14.19,16.42,20.26,18.0
I04,2021-02-09 01:00:00,51.4915,5.4392,14.38,16.33,19.92,33.0
I04,2021-02-10 01:00:00,51.4915,5.4392,12.61,14.34,17.91,38.0
I04,2021-02-11 01:00:00,51.4915,5.4392,8.65,9.86,13.51,42.0
I04,2021-02-12 01:00:00,51.4915,5.4392,13.01,14.68,18.78,43.0
I04,2021-02-13 01:00:00,51.4915,5.4392,11.5,13.2,17.36,53.0
I04,2021-02-14 01:00:00,51.4915,5.4392,6.16,7.2,10.78,34.0
I04,2021-02-15 01:00:00,51.4915,5.4392,7.89,10.08,15.67,18.0
I04,2021-02-16 01:00:00,51.4915,5.4392,6.43,8.32,13.79,16.0
I04,2021-02-17 01:00:00,51.4915,5.4392,6.35,11.34,24.22,16.0
I04,2021-02-18 01:00:00,51.4915,5.4392,4.33,7.02,14.2,23.0
I04,2021-02-19 01:00:00,51.4915,5.4392,6.01,8.73,16.47,24.0
I04,2021-02-20 01:00:00,51.4915,5.4392,6.53,11.41,32.91,16.0
I04,2021-02-21 01:00:00,51.4915,5.4392,5.36,8.06,17.9,19.0
I04,2021-02-22 01:00:00,51.4915,5.4392,6.17,10.22,25.96,40.0
I04,2021-02-23 01:00:00,51.4915,5.4392,7.77,15.88,45.64,23.0
I04,2021-02-24 01:00:00,51.4915,5.4392,9.15,19.6,56.37,23.0
I04,2021-02-25 01:00:00,51.4915,5.4392,11.2,22.11,57.76,37.0
I04,2021-02-26 01:00:00,51.4915,5.4392,6.36,10.57,21.12,47.0
I04,2021-02-27 01:00:00,51.4915,5.4392,14.75,18.96,26.72,37.0
I04,2021-02-28 01:00:00,51.4915,5.4392,13.07,15.3,20.59,24.0
I04,2021-03-01 01:00:00,51.4915,5.4392,21.73,24.53,28.3,23.0
I04,2021-03-02 01:00:00,51.4915,5.4392,19.19,22.95,28.69,47.0
I04,2021-03-03 01:00:00,51.4915,5.4392,24.19,33.47,44.59,68.0
I04,2021-03-04 01:00:00,51.4915,5.4392,18.87,30.77,36.72,42.0
I04,2021-03-05 01:00:00,51.4915,5.4392,5.36,6.96,12.13,56.0
I04,2021-03-06 01:00:00,51.4915,5.4392,6.13,8.24,14.33,46.0
I04,2021-03-07 01:00:00,51.4915,5.4392,10.34,11.83,16.04,30.0
I04,2021-03-08 01:00:00,51.4915,5.4392,25.61,29.81,35.86,48.0
I04,2021-03-09 01:00:00,51.4915,5.4392,13.55,16.07,20.73,27.0
I04,2021-03-10 01:00:00,51.4915,5.4392,18.85,21.47,27.15,16.0
I04,2021-03-11 01:00:00,51.4915,5.4392,7.43,10.61,19.8,18.0
I07,2021-01-11 01:00:00,51.4568,5.4383,12.72,14.6,19.15,8.0
I07,2021-01-12 01:00:00,51.4568,5.4383,2.95,4.3,9.29,18.0
I07,2021-01-13 01:00:00,51.4567,5.4382,7.14,9.91,19.1,35.0
I07,2021-01-14 01:00:00,51.4567,5.4382,6.39,8.34,14.2,28.0
I07,2021-01-15 01:00:00,51.4567,5.4382,14.97,16.4,20.34,31.0
I07,2021-01-16 01:00:00,51.4568,5.4383,19.44,20.95,23.82,29.0
I07,2021-01-17 01:00:00,51.4569,5.4383,12.51,15.87,22.9,17.0
I07,2021-01-18 01:00:00,51.4568,5.4382,9.22,12.38,21.93,23.0
I07,2021-01-19 01:00:00,51.4568,5.4382,4.52,5.81,10.66,12.0
I07,2021-01-20 01:00:00,51.4568,5.4383,3.83,4.72,8.56,14.0
I07,2021-01-21 01:00:00,51.4569,5.4385,2.82,4.28,9.64,16.0
I07,2021-01-22 01:00:00,51.4566,5.4383,6.06,7.5,12.4,35.0
I07,2021-01-23 01:00:00,51.4567,5.4382,8.85,10.38,15.19,25.0
I07,2021-01-24 01:00:00,51.4568,5.4384,8.47,9.72,13.82,19.0
I07,2021-01-25 01:00:00,51.4568,5.4384,13.25,14.85,19.88,30.0
I07,2021-01-26 01:00:00,51.4568,5.4384,6.2,8.69,17.76,22.0
I07,2021-01-27 01:00:00,51.4568,5.4382,12.29,15.2,19.1,30.0
I07,2021-01-28 01:00:00,51.4569,5.4383,8.08,10.09,12.97,28.0
I07,2021-01-29 01:00:00,51.4567,5.4382,5.55,9.05,18.76,12.0
I07,2021-01-30 01:00:00,51.4568,5.4382,8.29,8.98,11.99,15.0
I07,2021-01-31 01:00:00,51.4567,5.4383,15.61,16.61,18.42,23.0
I07,2021-02-01 01:00:00,51.4568,5.4383,22.89,25.96,30.01,33.0
I07,2021-02-02 01:00:00,51.4566,5.4381,14.98,17.85,23.1,23.0
I07,2021-02-03 01:00:00,51.4566,5.4383,6.06,8.5,15.17,19.0
I07,2021-02-04 01:00:00,51.4568,5.4381,6.94,10.39,23.09,21.0
I07,2021-02-05 01:00:00,51.4568,5.4384,7.3,9.57,17.36,25.0
I07,2021-02-06 01:00:00,51.4568,5.4384,21.35,25.11,28.8,21.0
I07,2021-02-07 01:00:00,51.4567,5.4383,13.31,15.22,18.52,11.0
I07,2021-02-08 01:00:00,51.4568,5.4382,13.67,16.06,20.07,11.0
I07,2021-02-09 01:00:00,51.4568,5.4384,13.72,15.96,19.77,21.0
I07,2021-02-10 01:00:00,51.4568,5.4384,12.37,14.19,17.95,21.0
I07,2021-02-11 01:00:00,51.4568,5.4384,8.41,9.55,13.0,33.0
I07,2021-02-12 01:00:00,51.4569,5.4384,12.37,14.04,18.09,30.0
I07,2021-02-13 01:00:00,51.4567,5.4382,10.51,12.06,16.02,41.0
I07,2021-02-14 01:00:00,51.4568,5.4381,5.76,6.52,9.8,24.0
I07,2021-02-15 01:00:00,51.4567,5.4383,8.49,10.09,14.88,20.0
I07,2021-02-16 01:00:00,51.4567,5.4384,6.32,7.54,11.72,17.0
I07,2021-02-17 01:00:00,51.4566,5.4383,5.83,9.51,21.28,16.0
I07,2021-02-18 01:00:00,51.4566,5.4383,4.44,6.28,13.46,21.0
I07,2021-02-19 01:00:00,51.4568,5.4383,5.72,7.36,13.45,22.0
I07,2021-02-20 01:00:00,51.4569,5.4383,6.26,9.36,24.57,16.0
I07,2021-02-21 01:00:00,51.4568,5.4383,4.88,6.74,14.97,18.0
I07,2021-02-22 01:00:00,51.4569,5.4383,5.84,8.41,19.56,38.0
I07,2021-02-23 01:00:00,51.4568,5.4383,7.12,12.31,34.9,25.0
I07,2021-02-24 01:00:00,51.4568,5.4383,8.09,14.58,40.96,24.0
I07,2021-02-25 01:00:00,51.4568,5.4385,10.74,17.87,46.31,34.0
I07,2021-02-26 01:00:00,51.4568,5.4384,6.15,9.25,19.55,34.0
I07,2021-02-27 01:00:00,51.4568,5.4382,16.16,19.77,27.86,25.0
I07,2021-02-28 01:00:00,51.4569,5.4382,14.84,16.96,22.54,20.0
I07,2021-03-01 01:00:00,51.4569,5.4383,23.85,27.73,32.03,26.0
I07,2021-03-02 01:00:00,51.4567,5.4383,19.14,22.57,28.08,46.0
I07,2021-03-03 01:00:00,51.4568,5.4383,23.88,32.64,42.29,69.0
I07,2021-03-04 01:00:00,51.4568,5.4382,19.05,29.86,36.97,32.0
I07,2021-03-05 01:00:00,51.4569,5.4383,5.85,7.18,11.78,22.0
I07,2021-03-06 01:00:00,51.4568,5.4384,6.29,8.03,14.13,27.0
I07,2021-03-07 01:00:00,51.4569,5.4384,10.74,12.05,16.23,27.0
I07,2021-03-08 01:00:00,51.4569,5.4383,26.69,31.01,37.16,34.0
I07,2021-03-09 01:00:00,51.4566,5.4381,14.15,16.84,21.11,24.0
I07,2021-03-10 01:00:00,51.4566,5.4381,19.88,22.25,27.38,19.0
I07,2021-03-11 01:00:00,51.4567,5.4383,7.79,10.33,17.62,13.0
I08,2021-01-25 01:00:00,51.4465,5.4482,10.66,13.27,18.31,5.0
I08,2021-01-26 01:00:00,51.4464,5.4483,7.38,10.44,16.39,33.0
I08,2021-01-27 01:00:00,51.4465,5.4485,14.79,18.14,21.96,32.0
I08,2021-01-28 01:00:00,51.4465,5.4483,11.26,13.9,16.63,16.0
I08,2021-01-29 01:00:00,51.4465,5.4483,7.01,11.16,17.52,19.0
I08,2021-01-30 01:00:00,51.4464,5.4485,8.77,9.53,11.86,20.0
I08,2021-01-31 01:00:00,51.4464,5.4482,17.51,18.45,19.54,25.0
I08,2021-02-01 01:00:00,51.4465,5.4482,27.59,30.79,34.31,21.0
I08,2021-02-02 01:00:00,51.4465,5.4483,18.4,21.96,25.86,21.0
I08,2021-02-03 01:00:00,51.4464,5.4483,8.17,11.31,16.15,31.0
I08,2021-02-04 01:00:00,51.4464,5.4484,8.61,13.28,22.11,25.0
I08,2021-02-05 01:00:00,51.4465,5.4483,10.24,13.45,19.57,39.0
I08,2021-02-06 01:00:00,51.4464,5.4484,25.84,29.64,32.06,19.0
I08,2021-02-07 01:00:00,51.4465,5.4482,15.83,17.69,20.28,20.0
I08,2021-02-08 01:00:00,51.4465,5.4482,18.01,20.44,23.53,24.0
I08,2021-02-09 01:00:00,51.4465,5.448,19.42,21.89,24.89,29.0
I08,2021-02-10 01:00:00,51.4465,5.4482,18.05,20.16,22.72,31.0
I08,2021-02-11 01:00:00,51.4465,5.4482,10.27,11.6,14.79,36.0
I08,2021-02-12 01:00:00,51.4465,5.4482,14.93,16.76,20.64,37.0
I08,2021-02-13 01:00:00,51.4465,5.4481,12.46,14.11,17.92,46.0
I08,2021-02-14 01:00:00,51.4465,5.4481,6.22,7.07,10.33,39.0
I08,2021-02-15 01:00:00,51.4465,5.448,9.67,11.79,16.04,23.0
I08,2021-02-16 01:00:00,51.4465,5.4484,7.78,9.57,13.67,25.0
I08,2021-02-17 01:00:00,51.4464,5.4484,7.62,12.08,19.66,31.0
I08,2021-02-18 01:00:00,51.4465,5.4482,5.44,7.8,12.95,29.0
I08,2021-02-19 01:00:00,51.4464,5.4483,7.1,9.34,14.24,33.0
I08,2021-02-20 01:00:00,51.4466,5.4484,7.93,12.17,24.61,24.0
I08,2021-02-21 01:00:00,51.4465,5.4481,6.14,8.46,14.61,29.0
I08,2021-02-22 01:00:00,51.4465,5.4483,8.2,12.03,22.33,46.0
I08,2021-02-23 01:00:00,51.4465,5.4484,9.54,16.55,34.58,26.0
I08,2021-02-24 01:00:00,51.4465,5.4482,10.85,19.83,42.26,29.0
I08,2021-02-25 01:00:00,51.4464,5.4485,13.63,22.84,44.4,31.0
I08,2021-02-26 01:00:00,51.4464,5.4484,8.25,12.41,19.78,29.0
I08,2021-02-27 01:00:00,51.4465,5.4483,20.23,24.81,31.43,19.0
I08,2021-02-28 01:00:00,51.4465,5.4483,18.38,20.95,25.65,20.0
I08,2021-03-01 01:00:00,51.4464,5.4483,29.74,33.74,36.48,16.0
I08,2021-03-02 01:00:00,51.4465,5.4482,22.75,26.34,31.0,40.0
I08,2021-03-03 01:00:00,51.4464,5.4485,29.8,38.64,46.26,57.0
I08,2021-03-04 01:00:00,51.4465,5.4483,23.6,34.3,39.27,23.0
I08,2021-03-05 01:00:00,51.4465,5.4483,7.14,8.8,13.02,35.0
I08,2021-03-06 01:00:00,51.4465,5.4483,9.22,11.86,16.81,40.0
I08,2021-03-07 01:00:00,51.4465,5.4483,14.75,16.62,20.55,34.0
I08,2021-03-08 01:00:00,51.4465,5.448,32.43,36.99,42.89,40.0
I08,2021-03-09 01:00:00,51.4465,5.4484,17.73,20.4,24.33,24.0
I08,2021-03-10 01:00:00,51.4465,5.4485,24.4,27.04,31.78,27.0
I08,2021-03-11 01:00:00,51.4465,5.4482,9.17,12.07,17.35,29.0
I09,2021-01-01 01:00:00,51.4422,5.4844,24.14,27.6,31.84,22.0
I09,2021-01-02 01:00:00,51.4422,5.4844,31.16,37.62,41.62,16.0
I09,2021-01-03 01:00:00,51.4422,5.4844,22.78,28.23,30.81,9.0
I09,2021-01-04 01:00:00,51.4422,5.4844,4.05,4.33,6.29,6.0
I09,2021-01-05 01:00:00,51.4422,5.4844,16.2,16.95,17.88,7.0
I09,2021-01-06 01:00:00,51.4422,5.4844,12.99,14.09,17.1,18.0
I09,2021-01-07 01:00:00,51.4422,5.4844,6.43,7.49,10.51,20.0
I09,2021-01-08 01:00:00,51.4422,5.4844,5.18,5.73,8.04,16.0
I09,2021-01-09 01:00:00,51.4422,5.4844,16.66,18.2,21.22,29.0
I09,2021-01-10 01:00:00,51.4422,5.4844,23.78,26.11,30.35,32.0
I09,2021-01-11 01:00:00,51.4422,5.4844,21.38,23.47,26.34,14.0
I09,2021-01-12 01:00:00,51.4422,5.4844,3.69,5.6,9.7,15.0
I09,2021-01-13 01:00:00,51.4422,5.4844,8.83,12.84,20.18,30.0
I09,2021-01-14 01:00:00,51.4422,5.4844,7.24,9.7,15.23,26.0
I09,2021-01-15 01:00:00,51.4422,5.4844,16.63,17.98,21.53,31.0
I09,2021-01-16 01:00:00,51.4422,5.4844,22.31,23.41,25.36,28.0
I09,2021-01-17 01:00:00,51.4423,5.4845,16.36,20.94,26.85,14.0
I09,2021-01-18 01:00:00,51.4423,5.4845,10.85,15.07,21.76,19.0
I09,2021-01-19 01:00:00,51.4423,5.4845,4.81,6.4,10.01,5.0
I09,2021-01-20 01:00:00,51.4423,5.4845,3.64,4.52,7.62,7.0
I09,2021-01-21 01:00:00,51.4423,5.4845,3.1,4.76,8.96,16.0
I09,2021-01-22 01:00:00,51.4423,5.4845,6.83,9.03,13.36,35.0
I09,2021-01-23 01:00:00,51.4423,5.4845,9.18,11.1,14.99,24.0
I09,2021-01-24 01:00:00,51.4423,5.4845,9.31,10.71,14.46,19.0
I09,2021-01-25 01:00:00,51.4422,5.4844,14.5,16.29,20.5,25.0
I09,2021-01-26 01:00:00,51.4422,5.4844,7.43,10.78,17.28,19.0
I09,2021-01-27 01:00:00,51.4422,5.4844,14.67,17.56,21.77,22.0
I09,2021-01-28 01:00:00,51.4422,5.4844,10.05,12.14,14.58,13.0
I09,2021-01-29 01:00:00,51.4422,5.4844,7.41,11.77,18.32,10.0
I09,2021-01-30 01:00:00,51.4422,5.4844,8.1,8.84,11.22,19.0
I09,2021-01-31 01:00:00,51.4422,5.4844,16.53,17.28,18.64,24.0
I09,2021-02-01 01:00:00,51.4422,5.4844,26.64,29.37,33.02,28.0
I09,2021-02-02 01:00:00,51.4421,5.4844,18.1,21.43,25.12,18.0
I09,2021-02-03 01:00:00,51.4421,5.4845,7.84,10.79,15.34,17.0
I09,2021-02-04 01:00:00,51.4421,5.4844,8.59,13.76,22.54,22.0
I09,2021-02-05 01:00:00,51.4423,5.4843,9.4,12.5,18.35,28.0
I09,2021-02-06 01:00:00,51.4423,5.4843,25.25,28.27,30.36,21.0
I09,2021-02-07 01:00:00,51.4423,5.4844,16.43,17.78,19.89,11.0
I09,2021-02-08 01:00:00,51.4423,5.4844,18.65,20.44,23.22,15.0
I09,2021-02-09 01:00:00,51.4423,5.4844,18.6,20.19,22.43,25.0
I09,2021-02-10 01:00:00,51.4421,5.4844,17.03,18.52,20.84,27.0
I09,2021-02-11 01:00:00,51.4421,5.4844,10.52,11.66,14.67,33.0
I09,2021-02-12 01:00:00,51.4422,5.4844,16.54,18.09,21.66,33.0
I09,2021-02-13 01:00:00,51.4421,5.4844,13.98,15.46,18.92,43.0
I09,2021-02-14 01:00:00,51.4421,5.4844,6.37,7.07,9.96,25.0
I09,2021-02-15 01:00:00,51.4421,5.4844,8.47,10.37,14.32,14.0
I09,2021-02-16 01:00:00,51.4421,5.4844,6.79,8.38,12.14,11.0
I09,2021-02-17 01:00:00,51.4421,5.4845,7.32,11.86,19.64,12.0
I09,2021-02-18 01:00:00,51.4421,5.4848,4.95,7.34,11.96,16.0
I09,2021-02-19 01:00:00,51.4421,5.4846,6.38,8.64,13.31,16.0
I09,2021-02-20 01:00:00,51.4422,5.4844,7.91,11.98,21.2,11.0
I09,2021-02-21 01:00:00,51.4422,5.4844,6.61,8.86,14.14,28.0
I09,2021-02-22 01:00:00,51.4422,5.4844,7.35,10.88,18.97,45.0
I09,2021-02-23 01:00:00,51.4422,5.4844,9.56,16.29,29.07,21.0
I09,2021-02-24 01:00:00,51.4422,5.4844,11.31,20.19,36.1,23.0
I09,2021-02-25 01:00:00,51.4422,5.4844,14.0,23.28,39.19,27.0
I09,2021-02-26 01:00:00,51.4422,5.4844,8.21,12.82,20.67,32.0
I09,2021-02-27 01:00:00,51.4422,5.4844,18.52,23.03,29.5,26.0
I09,2021-02-28 01:00:00,51.4422,5.4844,15.78,18.05,22.44,18.0
I09,2021-03-01 01:00:00,51.4422,5.4844,28.74,31.82,34.41,22.0
I09,2021-03-02 01:00:00,51.4422,5.4844,22.94,26.0,30.39,43.0
I09,2021-03-03 01:00:00,51.4422,5.4844,30.45,38.41,45.83,56.0
I09,2021-03-04 01:00:00,51.4422,5.4844,24.66,32.88,36.93,28.0
I09,2021-03-05 01:00:00,51.4422,5.4844,6.37,7.92,11.9,30.0
I09,2021-03-06 01:00:00,51.4422,5.4844,6.59,8.64,13.22,32.0
I09,2021-03-07 01:00:00,51.4422,5.4844,12.3,13.9,17.51,26.0
I09,2021-03-08 01:00:00,51.4422,5.4844,32.35,36.07,42.0,34.0
I09,2021-03-09 01:00:00,51.4422,5.4844,17.25,19.47,22.98,21.0
I09,2021-03-10 01:00:00,51.4422,5.4844,22.78,24.97,29.46,12.0
I09,2021-03-11 01:00:00,51.4422,5.4844,8.8,11.66,16.93,10.0
I11,2021-01-01 01:00:00,51.4454,5.4854,24.14,28.97,33.14,14.0
I11,2021-01-02 01:00:00,51.4454,5.4854,29.36,38.29,42.8,6.0
I11,2021-01-03 01:00:00,51.4454,5.4854,21.37,28.95,32.17,3.0
I11,2021-01-04 01:00:00,51.4454,5.4854,5.37,5.78,7.66,4.0
I11,2021-01-05 01:00:00,51.4454,5.4854,18.3,19.6,20.18,3.0
I11,2021-01-06 01:00:00,51.4454,5.4854,14.9,16.2,19.26,14.0
I11,2021-01-07 01:00:00,51.4454,5.4854,7.31,8.32,11.31,20.0
I11,2021-01-08 01:00:00,51.4454,5.4854,6.61,7.22,9.5,11.0
I11,2021-01-09 01:00:00,51.4454,5.4854,17.77,19.58,22.68,23.0
I11,2021-01-10 01:00:00,51.4454,5.4854,25.72,28.58,32.85,34.0
I11,2021-01-11 01:00:00,51.4454,5.4854,22.75,25.47,28.56,26.0
I11,2021-01-12 01:00:00,51.4454,5.4854,4.15,5.98,9.98,24.0
I11,2021-01-13 01:00:00,51.4454,5.4854,9.45,13.06,20.15,30.0
I11,2021-01-14 01:00:00,51.4454,5.4854,7.86,10.33,15.24,21.0
I11,2021-01-15 01:00:00,51.4454,5.4854,18.72,20.4,23.92,19.0
I11,2021-01-16 01:00:00,51.4454,5.4854,24.32,26.02,28.21,22.0
I11,2021-01-17 01:00:00,51.4454,5.4854,16.83,21.44,27.09,17.0
I11,2021-01-18 01:00:00,51.4454,5.4854,12.08,16.17,23.28,18.0
I11,2021-01-19 01:00:00,51.4454,5.4854,5.82,7.34,11.14,8.0
I11,2021-01-20 01:00:00,51.4454,5.4854,4.49,5.46,8.46,12.0
